Name,Unique visitors total,Daily-Visitors,Weekday-Visitors-Per_day,Weekend-Visitors-Per_day,Weekday-Morning,Weekday-Afternoon,Weekday-Night,Weekend-Morning,Weekend-Afternoon,Weekend-Night,Weekday-Morning-Per_day,Weekday-Afternoon-Per_day,Weekday-Night-Per_day,Weekend-Morning-Per_day,Weekend-Afternoon-Per_day,Weekend-Night-Per_day,Morning,Afternoon,Night
1,0.636531134,0.49954533,0.482581168,0.535273253,0.399025369,0.520256583,0.485013624,0.478041757,0.581308411,0.497780468,0.399025369,0.520256583,0.485013624,0.478041757,0.581308411,0.497780468,0.421527422,0.540762332,0.489167542
2,0.752901175,0.623624673,0.586643278,0.740909994,0.474750831,0.612974519,0.6121673,0.69160105,0.762130178,0.73156682,0.474750831,0.612974519,0.6121673,0.69160105,0.762130178,0.73156682,0.518557794,0.649946221,0.641795312
3,0.599916736,0.404800519,0.408899731,0.390983839,0.309531608,0.47579358,0.385794743,0.233045623,0.508393285,0.326335878,0.309531608,0.47579358,0.385794743,0.233045623,0.508393285,0.326335878,0.293478261,0.483235254,0.371112158
4,0.751007147,0.680872303,0.673850095,0.696463897,0.614622779,0.678120203,0.701453104,0.687221397,0.696,0.701948796,0.614622779,0.678120203,0.701453104,0.687221397,0.696,0.701948796,0.635070098,0.683976497,0.701602675
5,0.641569748,0.583549438,0.564744736,0.633079618,0.51627907,0.578468085,0.577523022,0.660094637,0.637731734,0.610148515,0.51627907,0.578468085,0.577523022,0.660094637,0.637731734,0.610148515,0.546682227,0.595102541,0.587734022
6,0.568257463,0.522170151,0.513305177,0.538693165,0.470479988,0.513438174,0.52885642,0.529310345,0.5589701,0.523005133,0.470479988,0.513438174,0.52885642,0.529310345,0.5589701,0.523005133,0.488589322,0.528748473,0.526657313
7,0.477841518,0.418277542,0.401039778,0.450280584,0.32685635,0.419018561,0.413531239,0.460992908,0.455279503,0.439055933,0.32685635,0.419018561,0.413531239,0.460992908,0.455279503,0.439055933,0.361075213,0.432813485,0.422414763
8,0.690984721,0.478424864,0.447835159,0.558294743,0.361272297,0.498207106,0.43639443,0.475181999,0.620616926,0.503925417,0.361272297,0.498207106,0.43639443,0.475181999,0.620616926,0.503925417,0.389195328,0.533933518,0.455114255
9,0.491547669,0.43991161,0.417021277,0.491434887,0.38590604,0.423410281,0.426237685,0.479823107,0.53648532,0.448947249,0.38590604,0.423410281,0.426237685,0.479823107,0.53648532,0.448947249,0.411737874,0.455572613,0.434303635
10,0.53174689,0.463963735,0.423441522,0.638228942,0.416870416,0.408970659,0.465228498,0.693440428,0.631281762,0.613827993,0.416870416,0.408970659,0.465228498,0.693440428,0.631281762,0.613827993,0.459582386,0.448002379,0.502654491
11,0.582563882,0.444909453,0.407163111,0.549091822,0.335154953,0.424311266,0.432114625,0.518216422,0.582459965,0.514778622,0.335154953,0.424311266,0.432114625,0.518216422,0.582459965,0.514778622,0.372284107,0.467994442,0.456132357
12,0.557069889,0.486246553,0.472796889,0.513674829,0.397798349,0.48196967,0.493179215,0.457056146,0.551367188,0.49542376,0.397798349,0.48196967,0.493179215,0.457056146,0.551367188,0.49542376,0.41509434,0.503553639,0.493993097
13,0.60412402,0.510569106,0.502335032,0.529452674,0.432943649,0.5501115,0.479416632,0.472881957,0.571023533,0.499777975,0.432943649,0.5501115,0.479416632,0.472881957,0.571023533,0.499777975,0.443741614,0.556595894,0.485887666
14,0.579822897,0.519974165,0.470153246,0.677905237,0.462439024,0.447645865,0.51913818,0.722712681,0.692980265,0.62917847,0.462439024,0.447645865,0.51913818,0.722712681,0.692980265,0.62917847,0.523101384,0.498599149,0.551951343
15,0.587853426,0.509559088,0.487661105,0.578369045,0.464986787,0.488182162,0.508720665,0.584002677,0.598346235,0.546325879,0.464986787,0.488182162,0.508720665,0.584002677,0.598346235,0.546325879,0.491166078,0.514085964,0.518908123
16,0.55422198,0.470095879,0.438354095,0.566065941,0.381051319,0.447733465,0.463281858,0.545292545,0.598950011,0.51822504,0.381051319,0.447733465,0.463281858,0.545292545,0.598950011,0.51822504,0.412108278,0.484872835,0.479549543
17,0.654460584,0.60399591,0.580347308,0.66339023,0.554819227,0.600254518,0.572534894,0.664299242,0.696003075,0.611290323,0.554819227,0.600254518,0.572534894,0.664299242,0.696003075,0.611290323,0.583462372,0.627481695,0.584500467
18,0.476377251,0.417825918,0.400418639,0.468432335,0.372827804,0.401170551,0.415236501,0.48952381,0.487115544,0.443744091,0.372827804,0.401170551,0.415236501,0.48952381,0.487115544,0.443744091,0.396553393,0.421449025,0.423984526
19,0.470222872,0.41999657,0.383350151,0.627283105,0.376461104,0.356244131,0.460076046,0.804166667,0.624396135,0.56871345,0.376461104,0.356244131,0.460076046,0.804166667,0.624396135,0.56871345,0.414185961,0.392328945,0.486728838
20,0.476864304,0.353945404,0.337628981,0.40802428,0.292367665,0.348358843,0.353623188,0.335037175,0.452903856,0.385220729,0.292367665,0.348358843,0.353623188,0.335037175,0.452903856,0.385220729,0.300084034,0.370709143,0.362960862
21,0.473155827,0.396158204,0.356476823,0.559293988,0.323285607,0.348349567,0.410865874,0.613976705,0.558553387,0.534684334,0.323285607,0.348349567,0.410865874,0.613976705,0.558553387,0.534684334,0.36141423,0.3884388,0.443844717
22,0.559280899,0.509895646,0.476841029,0.588378144,0.451346655,0.45514158,0.520530368,0.610632184,0.613902531,0.554087531,0.451346655,0.45514158,0.520530368,0.610632184,0.613902531,0.554087531,0.48832555,0.500053436,0.53198084
23,0.448250062,0.284253694,0.27673637,0.307073226,0.231671159,0.310656391,0.270722339,0.223469388,0.367255471,0.286086673,0.231671159,0.310656391,0.270722339,0.223469388,0.367255471,0.286086673,0.229957356,0.324890598,0.274955117
24,0.432039043,0.338026725,0.330334774,0.362648009,0.319681385,0.327491478,0.343282779,0.374715968,0.367597765,0.350682366,0.319681385,0.327491478,0.343282779,0.374715968,0.367597765,0.350682366,0.332499399,0.335544872,0.345404327
25,0.397778161,0.246801521,0.230891969,0.432323969,0.208625878,0.243751152,0.229461756,0.462571977,0.463654224,0.392678869,0.208625878,0.243751152,0.229461756,0.462571977,0.463654224,0.392678869,0.222561618,0.256690365,0.25426729
26,0.460580439,0.365128368,0.353511313,0.38749087,0.32569136,0.354413482,0.37179615,0.347944275,0.428750697,0.351192883,0.32569136,0.354413482,0.37179615,0.347944275,0.428750697,0.351192883,0.332291877,0.382242405,0.364990316
27,0.583550914,0.528220362,0.493796526,0.638321995,0.434925865,0.492117889,0.544370861,0.705882353,0.65045045,0.554973822,0.434925865,0.492117889,0.544370861,0.705882353,0.65045045,0.554973822,0.484522207,0.535749752,0.546511628
28,0.396984925,0.148430625,0.139403707,0.172599784,0.110834371,0.187640449,0.114068441,0.151815182,0.227138643,0.129824561,0.110834371,0.187640449,0.114068441,0.151815182,0.227138643,0.129824561,0.122061483,0.198535395,0.118249534
