id,Name,Resident-Visitors-Total,Resident-Visits-Total,Resident-Visits-Per-Visitor,Resident-Visitors-Percent,Resident-Visits-Percent,Resident-Visits-Per-Visitor-Percent,Tourist-Visitors-Total,Tourist-Visits-Total,Tourist-Visits-Per-Visitor,Tourist-Visitors-Percent,Tourist-Visits-Percent,Tourist-Visits-Per-Visitor-Percent,Net-Visitors-Percent,Net-Visits-Percent,Net-Visits-Per-Visitor-Percent,Difference
1,1,8680,10789,1.24297235,0.003186359,0.002749841,0.001379557,15201,16615,1.093020196,0.006677033,0.006545704,0.001610115,-0.003490674,-0.003795863,-0.000230558,0.212596701
2,2,3343,4126,1.23422076,0.001227189,0.001051612,0.001369844,10186,11042,1.084036913,0.004474196,0.004350145,0.001596882,-0.003247007,-0.003298533,-0.000227038,0.455959916
3,3,2883,3659,1.269164065,0.001058327,0.000932586,0.001408627,4323,4583,1.060143419,0.001898876,0.001805535,0.001561685,-0.000840549,-0.000872949,-0.000153058,0.112108711
4,4,3832,4984,1.300626305,0.001406697,0.001270294,0.001443546,11558,12556,1.086347119,0.005076847,0.004946606,0.001600285,-0.00367015,-0.003676312,-0.000156739,0.431698974
5,5,5270,6546,1.242125237,0.001934575,0.001668408,0.001378617,9433,10098,1.070497191,0.004143441,0.003978244,0.001576937,-0.002208866,-0.002309835,-0.00019832,0.213410238
6,6,16863,19359,1.148016367,0.006190274,0.004934115,0.001274167,22195,24532,1.105293985,0.009749145,0.009664713,0.001628196,-0.00355887,-0.004730598,-0.000354029,0.117860154
7,7,8283,9229,1.114209827,0.003040624,0.002352237,0.001236645,7580,7933,1.046569921,0.003329512,0.003125313,0.00154169,-0.000288888,-0.000773076,-0.000305044,-0.075515674
8,8,3863,4643,1.20191561,0.001418077,0.001183382,0.001333989,8638,9411,1.089488307,0.003794238,0.003707591,0.001604912,-0.002376161,-0.002524209,-0.000270924,0.339262843
9,9,9685,11656,1.203510583,0.003555287,0.002970817,0.001335759,9363,10020,1.070169817,0.004112694,0.003947515,0.001576455,-0.000557407,-0.000976698,-0.000240696,-0.07547518
10,10,4329,5243,1.211134211,0.001589142,0.001336307,0.00134422,4916,5334,1.085028478,0.002159351,0.002101401,0.001598343,-0.000570209,-0.000765095,-0.000254122,0.008603574
11,11,15552,18761,1.206340021,0.005709016,0.0047817,0.001338899,21704,23354,1.076022853,0.009533473,0.009200624,0.001585077,-0.003824457,-0.004418924,-0.000246177,0.10905853
12,12,17777,20804,1.1702762,0.006525796,0.005302409,0.001298873,22358,24599,1.100232579,0.009820742,0.009691109,0.00162074,-0.003294946,-0.0043887,-0.000321867,0.083584785
13,13,7929,9665,1.21894312,0.002910673,0.002463362,0.001352887,12100,13447,1.111322314,0.00531492,0.005297628,0.001637076,-0.002404247,-0.002834266,-0.000284188,0.163637937
14,14,6643,8855,1.332982086,0.002438593,0.002256913,0.001479458,9167,10102,1.101996291,0.004026601,0.00397982,0.001623338,-0.001588008,-0.001722906,-0.00014388,0.06578045
15,15,7682,9425,1.226894038,0.002820002,0.002402192,0.001361712,10957,12212,1.114538651,0.004812858,0.004811083,0.001641814,-0.001992856,-0.002408891,-0.000280102,0.128807136
16,16,22062,26555,1.203653341,0.008098786,0.006768192,0.001335918,27429,30274,1.103722338,0.012048177,0.011926852,0.00162588,-0.003949391,-0.00515866,-0.000289963,0.06544194
17,17,11918,14050,1.178889075,0.004375004,0.003580986,0.001308432,22573,24382,1.08013999,0.009915181,0.009605619,0.001591142,-0.005540177,-0.006024633,-0.00028271,0.268838468
18,18,14685,17217,1.172420838,0.005390748,0.004388174,0.001301253,13360,14361,1.07492515,0.005868374,0.00565771,0.00158346,-0.000477627,-0.001269536,-0.000282207,-0.090442713
19,19,2900,3552,1.224827586,0.001064567,0.000905314,0.001359418,2574,2857,1.10994561,0.001130628,0.001125554,0.001635048,-6.61E-05,-0.00022024,-0.000275629,-0.108441254
20,20,13420,15663,1.167138599,0.004926376,0.003992099,0.00129539,12233,13048,1.066623069,0.00537334,0.005140436,0.00157123,-0.000446964,-0.001148337,-0.00027584,-0.091080074
21,21,4828,6086,1.26056338,0.001772321,0.001551166,0.001399081,4336,4619,1.065267528,0.001904586,0.001819718,0.001569233,-0.000132266,-0.000268552,-0.000170152,-0.137038767
22,22,4903,5777,1.178258209,0.001799853,0.00147241,0.001307732,6222,6646,1.068145291,0.002733011,0.002618282,0.001573472,-0.000933158,-0.001145872,-0.00026574,0.069950898
23,23,6637,8146,1.22736176,0.00243639,0.002076207,0.001362231,5392,5725,1.06175816,0.002368434,0.002255441,0.001564063,6.80E-05,-0.000179234,-0.000201832,-0.174536803
24,24,13267,17290,1.303233587,0.004870211,0.00440678,0.00144644,10092,11111,1.100971066,0.004432907,0.004377329,0.001621828,0.000437304,2.95E-05,-0.000175387,-0.217562762
25,25,6993,9251,1.322894323,0.002567075,0.002357844,0.001468261,4619,4935,1.068413076,0.002028894,0.00194421,0.001573867,0.000538181,0.000413634,-0.000105605,-0.30424362
26,26,9442,11263,1.192861682,0.003466084,0.002870651,0.00132394,8062,8678,1.076407839,0.00354123,0.003418816,0.001585644,-7.51E-05,-0.000548164,-0.000261704,-0.129632416
27,27,957,1227,1.282131661,0.000351307,0.000312731,0.001423019,1341,1415,1.055182699,0.000589034,0.000557458,0.001554377,-0.000237727,-0.000244727,-0.000131358,0.071158213
28,28,360,632,1.755555556,0.000132153,0.000161081,0.001948466,237,253,1.067510549,0.000104102,9.97E-05,0.001572537,2.81E-05,6.14E-05,0.000375929,-0.428248588
29,29,11462,14138,1.233467109,0.00420761,0.003603415,0.001369007,9296,10109,1.087456971,0.004083264,0.003982577,0.00160192,0.000124346,-0.000379162,-0.000232913,-0.166164886
30,30,2131,2947,1.382918817,0.000782273,0.000751115,0.001534882,2852,3146,1.103085554,0.00125274,0.001239409,0.001624942,-0.000470467,-0.000488294,-9.01E-05,0.03266043
31,31,897,979,1.091415831,0.000329282,0.000249522,0.001211347,1291,1352,1.047250194,0.000567071,0.000532639,0.001542692,-0.00023779,-0.000283117,-0.000331345,0.16001716
32,32,4292,5024,1.17054986,0.001575559,0.001280489,0.001299176,4057,4276,1.053980774,0.001782036,0.001684588,0.001552607,-0.000206476,-0.000404099,-0.00025343,-0.080430108
33,33,10540,12983,1.231783681,0.003869151,0.003309035,0.001367139,9946,10673,1.073094711,0.004368776,0.004204773,0.001580763,-0.000499626,-0.000895737,-0.000213624,-0.097649645
34,34,18509,23147,1.250580799,0.006794508,0.005899579,0.001388002,13976,15100,1.080423583,0.006138952,0.005948849,0.001591559,0.000655556,-4.93E-05,-0.000203558,-0.210395587
35,35,2323,3045,1.310804994,0.000852755,0.000776093,0.001454844,2882,3146,1.091603053,0.001265917,0.001239409,0.001608028,-0.000413162,-0.000463317,-0.000153184,0.016314004
36,36,5846,7810,1.335956209,0.00214602,0.00199057,0.001482759,5344,5648,1.056886228,0.00234735,0.002225106,0.001556887,-0.000201329,-0.000234536,-7.41E-05,-0.160647942
37,37,9061,11546,1.27425229,0.003326222,0.002942781,0.001414274,7253,7849,1.082172894,0.003185877,0.00309222,0.001594136,0.000140344,-0.000149439,-0.000179862,-0.190616138
38,38,2940,3542,1.204761905,0.001079251,0.000902765,0.001337148,3140,3414,1.087261146,0.001379244,0.001344992,0.001601632,-0.000299993,-0.000442226,-0.000264484,-0.01840138
39,39,3583,4092,1.142059726,0.001315291,0.001042946,0.001267556,5996,6760,1.127418279,0.002633741,0.002663193,0.001660787,-0.00131845,-0.001620247,-0.000393231,0.245853299
40,40,13641,17624,1.291987391,0.005007503,0.004491908,0.001433958,23906,30134,1.260520371,0.010500701,0.011871697,0.001856858,-0.005493197,-0.007379789,-0.0004229,0.261945643
41,41,4273,5476,1.281535221,0.001568585,0.001395693,0.001422357,5811,6442,1.108587162,0.002552479,0.002537913,0.001633047,-0.000983895,-0.00114222,-0.000210689,0.081053868
42,42,2526,3457,1.368566904,0.000927275,0.000881101,0.001518953,4546,5048,1.110426749,0.001996829,0.001988728,0.001635757,-0.001069554,-0.001107627,-0.000116804,0.187066432
43,43,13541,17182,1.268887084,0.004970794,0.004379253,0.001408319,11699,12717,1.087015984,0.005138781,0.005010034,0.00160127,-0.000167987,-0.000630781,-0.000192951,-0.149336098
44,44,6795,9049,1.331714496,0.002494391,0.002306359,0.001478051,4923,5332,1.083079423,0.002162426,0.002100614,0.001595472,0.000331965,0.000205746,-0.000117421,-0.258466032
45,45,8197,11230,1.37001342,0.003009054,0.00286224,0.001520558,6158,6980,1.133484898,0.002704899,0.002749865,0.001669723,0.000304155,0.000112375,-0.000149165,-0.233388248
46,46,9015,11012,1.221519689,0.003309335,0.002806678,0.001355747,9224,9890,1.072202949,0.004051638,0.003896299,0.00157945,-0.000742303,-0.001089622,-0.000223702,-0.053679074
47,47,14171,17361,1.225107614,0.005202062,0.004424876,0.001359729,18364,19964,1.087126988,0.008066379,0.007865088,0.001601434,-0.002864317,-0.003440212,-0.000241705,0.069738781
48,48,5711,7281,1.274908072,0.002096463,0.001855741,0.001415002,4609,4999,1.084617054,0.002024501,0.001969424,0.001597737,7.20E-05,-0.000113683,-0.000182735,-0.185830619
