Id,Name
1,Trafalgar Square
2,Big Ben
3,Parliament Square
4,London Eye
5,Tate Modern
6,Piccadilly Circus
7,Royal Festival Hall
8,Green Park
9,Charing Cross
10,St Paul's
11,Covent Garden
12,Leicester Square
13,Victoria and Albert Museum
14,Tower of London
15,Britannia
16,Oxford Circus
17,King's Cross St Pancras
18,Tottenham Court Road
19,Cannon Street Railway Bridge
20,Soho
21,City Hall
22,St James Square
23,South Bank
24,Old Street
25,City of London
26,Brick Lane
27,Downing Street
29,Fitzrovia
30,Whitehall
31,The Mall
32,Chelsea Embankment
33,Borough Market
34,Shoreditch
35,St. Jame's Park
36,Grant's Quay Wharf
37,Spitalfields
38,Lambeth Bridge
39,Hyde Park west
40,West End of London
41,Saint Pancras
42,Westminster Abbey
43,Waterloo
44,St Andrew Undershaft
45,Brackley Street
46,The Strand
47,Euston
48,Barbican
49,Hyde Park east
50,Bloomsbury
53,Farringdon
54,Hyde Park Corner
55,Blackwall
59,Crane Court
60,Pentonville
61,Middlesex Hospital
62,Holborn
63,Camden Town
64,Old Change
65,Victoria
66,Blackfriars
67,St James's
69,Moorgate Railway Station
70,Liverpool Street
71,Southwark
72,Regent's Park
73,Regent's Park Und.St.
74,Carlton Tower
75,Kensington
76,Burton Court
77,Oxford Street
78,Bermondsey
79,Baker Street
81,Nine Elms
82,Borough Und.St.
83,Docklands
84,Barnsbury
85,Natural History Museum
86,Notting Hill
88,Knightsbridge
90,Millwall
91,Wapping
93,Earls Court
94,Islington
95,Bayswater
96,Pimlico
97,Bethnal Green
98,London Bridge
99,Whitechapel
100,Clerkenwell
101,days shoreditch
103,West Holland Park
104,Hoxton
105,Hoxton Rail Station
106,Vauxhall
107,Elephant and Castle
110,Stratford
111,Oval
112,Holloway
114,Dalston
118,Chalk Farm
121,Greenwich Park
122,Paddington
123,Kings Cross
124,Chelsea
126,Hammersmith
127,Wimbledon Common
129,East London
130,Rush Common
132,Finsbury Park
134,Shepherds Bush
135,Limehouse
139,City of Westminster
140,Fulham
142,Muswell Hill
143,Lower Clapton
146,Battersea
147,Craven Cottage; Fulham Football Club
148,Blackheath
152,Ealing
153,Belsize Park
154,Maida Vale
156,Central Park Hotel Finsbury Park
160,Crouch End
161,Surrey Quays
163,Camberwell
164,Olympic Park
165,Plaistow
166,Stoke Newington
169,Harringay
171,Clapham North
174,Seven Sisters
175,Clapham Junction
176,Greenwich
178,East Acton
179,Old Kent Road
181,Chiswick
182,Westcombe Park Railway Station
186,Earlsfield
187,Crystal Palace
188,Wimbledon
194,Balham
208,Lambeth
210,Barnes
211,West Ham
219,Leyton
221,Forest Hill
223,Sleeping Beauty
225,Forest Gate
235,New Cross
239,Acton
242,Tottenham
247,North Acton
249,Peckham
251,Putney
258,Tulse Hill Railway Station
260,South Hampstead
268,Queens Park
275,Tooting
281,Highgate
295,Upton Park
300,Mortlake Railway Station
304,Lee Railway Station
305,Kidbrooke
310,East Finchley
322,Walthamstow
327,Lewisham
335,Neasden
343,Hackney
367,Wood Green
376,Mitcham
385,Holiday Inn London Ealing
422,Golders Green
571,Hampstead Heath
572,Wandsworth
573,Kensal Green
574,Colliers Wood
576,Roehampton
578,Dulwich
579,West Norwood
580,Dollis Hill
582,Bellingham Railway Station
583,Sports Center:Middlesex County Cricket Club
