Id,Unique visitors total,Daily-Visitors,Weekday-Visitors-Per_day,Weekend-Visitors-Per_day,Weekday-Morning,Weekday-Afternoon,Weekday-Night,Weekend-Morning,Weekend-Afternoon,Weekend-Night,Weekday-Morning-Per_day,Weekday-Afternoon-Per_day,Weekday-Night-Per_day,Weekend-Morning-Per_day,Weekend-Afternoon-Per_day,Weekend-Night-Per_day
1,0.273062267,-0.000909341,-0.034837663,0.070546506,-0.201949262,0.040513167,-0.029972752,-0.043916487,0.162616822,-0.004439064,-0.201949262,0.040513167,-0.029972752,-0.043916487,0.162616822,-0.004439064
2,0.505802351,0.247249345,0.173286556,0.481819988,-0.050498339,0.225949038,0.224334601,0.3832021,0.524260355,0.463133641,-0.050498339,0.225949038,0.224334601,0.3832021,0.524260355,0.463133641
3,0.199833472,-0.190398962,-0.182200538,-0.218032322,-0.380936783,-0.048412839,-0.228410513,-0.533908755,0.016786571,-0.347328244,-0.380936783,-0.048412839,-0.228410513,-0.533908755,0.016786571,-0.347328244
4,0.502014295,0.361744606,0.347700189,0.392927794,0.229245558,0.356240406,0.402906209,0.374442793,0.392,0.403897593,0.229245558,0.356240406,0.402906209,0.374442793,0.392,0.403897593
5,0.283139495,0.167098876,0.129489473,0.266159236,0.03255814,0.15693617,0.155046044,0.320189274,0.275463468,0.22029703,0.03255814,0.15693617,0.155046044,0.320189274,0.275463468,0.22029703
6,0.136514927,0.044340303,0.026610353,0.077386329,-0.059040025,0.026876348,0.057712841,0.05862069,0.117940199,0.046010266,-0.059040025,0.026876348,0.057712841,0.05862069,0.117940199,0.046010266
7,-0.044316964,-0.163444916,-0.197920445,-0.099438833,-0.3462873,-0.161962878,-0.172937522,-0.078014184,-0.089440994,-0.121888134,-0.3462873,-0.161962878,-0.172937522,-0.078014184,-0.089440994,-0.121888134
8,0.381969442,-0.043150272,-0.104329682,0.116589485,-0.277455405,-0.003585787,-0.12721114,-0.049636003,0.241233852,0.007850834,-0.277455405,-0.003585787,-0.12721114,-0.049636003,0.241233852,0.007850834
9,-0.016904662,-0.120176781,-0.165957447,-0.017130227,-0.228187919,-0.153179439,-0.147524629,-0.040353787,0.072970639,-0.102105501,-0.228187919,-0.153179439,-0.147524629,-0.040353787,0.072970639,-0.102105501
10,0.06349378,-0.072072531,-0.153116956,0.276457883,-0.166259169,-0.182058682,-0.069543003,0.386880857,0.262563523,0.227655987,-0.166259169,-0.182058682,-0.069543003,0.386880857,0.262563523,0.227655987
11,0.165127765,-0.110181094,-0.185673778,0.098183644,-0.329690094,-0.151377468,-0.135770751,0.036432844,0.16491993,0.029557245,-0.329690094,-0.151377468,-0.135770751,0.036432844,0.16491993,0.029557245
12,0.114139778,-0.027506894,-0.054406222,0.027349659,-0.204403302,-0.036060659,-0.01364157,-0.085887709,0.102734375,-0.00915248,-0.204403302,-0.036060659,-0.01364157,-0.085887709,0.102734375,-0.00915248
13,0.20824804,0.021138211,0.004670063,0.058905348,-0.134112702,0.100223001,-0.041166736,-0.054236086,0.142047065,-0.00044405,-0.134112702,0.100223001,-0.041166736,-0.054236086,0.142047065,-0.00044405
14,0.159645794,0.03994833,-0.059693508,0.355810474,-0.075121951,-0.104708271,0.03827636,0.445425361,0.38596053,0.258356941,-0.075121951,-0.104708271,0.03827636,0.445425361,0.38596053,0.258356941
15,0.175706851,0.019118176,-0.02467779,0.15673809,-0.070026425,-0.023635675,0.01744133,0.168005355,0.19669247,0.092651757,-0.070026425,-0.023635675,0.01744133,0.168005355,0.19669247,0.092651757
16,0.10844396,-0.059808242,-0.12329181,0.132131883,-0.237897361,-0.104533069,-0.073436285,0.090585091,0.197900023,0.036450079,-0.237897361,-0.104533069,-0.073436285,0.090585091,0.197900023,0.036450079
17,0.308921168,0.20799182,0.160694617,0.326780459,0.109638453,0.200509035,0.145069788,0.328598485,0.392006149,0.222580645,0.109638453,0.200509035,0.145069788,0.328598485,0.392006149,0.222580645
18,-0.047245498,-0.164348165,-0.199162722,-0.06313533,-0.254344392,-0.197658897,-0.169526999,-0.020952381,-0.025768911,-0.112511818,-0.254344392,-0.197658897,-0.169526999,-0.020952381,-0.025768911,-0.112511818
19,-0.059554256,-0.16000686,-0.233299697,0.25456621,-0.247077791,-0.287511737,-0.079847909,0.608333333,0.248792271,0.137426901,-0.247077791,-0.287511737,-0.079847909,0.608333333,0.248792271,0.137426901
20,-0.046271391,-0.292109191,-0.324742038,-0.18395144,-0.41526467,-0.303282314,-0.292753623,-0.329925651,-0.094192289,-0.229558541,-0.41526467,-0.303282314,-0.292753623,-0.329925651,-0.094192289,-0.229558541
21,-0.053688346,-0.207683591,-0.287046354,0.118587976,-0.353428787,-0.303300866,-0.178268251,0.227953411,0.117106774,0.069368667,-0.353428787,-0.303300866,-0.178268251,0.227953411,0.117106774,0.069368667
22,0.118561798,0.019791292,-0.046317943,0.176756288,-0.09730669,-0.089716841,0.041060736,0.221264368,0.227805062,0.108175062,-0.09730669,-0.089716841,0.041060736,0.221264368,0.227805062,0.108175062
23,-0.103499875,-0.431492613,-0.446527259,-0.385853548,-0.536657682,-0.378687218,-0.458555322,-0.553061224,-0.265489059,-0.427826654,-0.536657682,-0.378687218,-0.458555322,-0.553061224,-0.265489059,-0.427826654
24,-0.135921914,-0.323946549,-0.339330452,-0.274703983,-0.36063723,-0.345017044,-0.313434441,-0.250568064,-0.264804469,-0.298635269,-0.36063723,-0.345017044,-0.313434441,-0.250568064,-0.264804469,-0.298635269
25,-0.204443679,-0.506396957,-0.538216062,-0.135352061,-0.582748245,-0.512497697,-0.541076487,-0.074856046,-0.072691552,-0.214642263,-0.582748245,-0.512497697,-0.541076487,-0.074856046,-0.072691552,-0.214642263
26,-0.078839122,-0.269743264,-0.292977373,-0.225018259,-0.34861728,-0.291173035,-0.256407699,-0.304111451,-0.142498606,-0.297614234,-0.34861728,-0.291173035,-0.256407699,-0.304111451,-0.142498606,-0.297614234
