Id,name,Resident-Visitors-Total,Resident-Visits-Total,Resident-Visits-Per-Visitor,Resident-Visitors-Percent,Resident-Visits-Percent,Resident-Visits-Per-Visitor-Percent,Tourist-Visitors-Total,Tourist-Visits-Total,Tourist-Visits-Per-Visitor,Tourist-Visitors-Percent,Tourist-Visits-Percent,Tourist-Visits-Per-Visitor-Percent,Net-Visitors-Percent,Net-Visits-Percent,Net-Visits-Per-Visitor-Percent
1,Trafalgar Square,8680,10789,1.24297235,0.01154415,0.011327962,0.010985116,15201,16615,1.093020196,0.018029291,0.017715354,0.011119003,-0.006485141,-0.006387392,-0.000133887
2,Big Ben,3343,4126,1.23422076,0.004446094,0.004332113,0.010907772,10186,11042,1.084036913,0.012081202,0.011773273,0.011027618,-0.007635109,-0.00744116,-0.000119847
3,Parliament Square,2883,3659,1.269164065,0.003834307,0.003841784,0.011216593,4323,4583,1.060143419,0.005127335,0.004886516,0.010784556,-0.001293028,-0.001044732,0.000432037
4,London Eye,3832,4984,1.300626305,0.00509645,0.005232974,0.011494649,11558,12556,1.086347119,0.013708476,0.01338754,0.01105112,-0.008612027,-0.008154566,0.00044353
5,Tate Modern,5270,6546,1.242125237,0.007008948,0.006873004,0.01097763,9433,10098,1.070497191,0.0111881,0.010766755,0.010889882,-0.004179152,-0.003893752,8.77472E-05
6,Piccadilly Circus,16863,19359,1.148016367,0.022427304,0.020326074,0.010145916,22195,24532,1.105293985,0.026324591,0.026156669,0.011243861,-0.003897288,-0.005830595,-0.001097945
7,Royal Festival Hall,8283,9229,1.114209827,0.011016151,0.009690032,0.009847141,7580,7933,1.046569921,0.008990331,0.008458375,0.010646477,0.00202582,0.001231657,-0.000799335
8,Green Park,3863,4643,1.20191561,0.005137679,0.00487494,0.010622266,8638,9411,1.089488307,0.010245182,0.010034258,0.011083074,-0.005107504,-0.005159318,-0.000460808
9,Charing Cross,9685,11656,1.203510583,0.012880771,0.012238273,0.010636362,9363,10020,1.070169817,0.011105075,0.01068359,0.010886552,0.001775695,0.001554683,-0.00025019
10,St Paul's,4329,5243,1.211134211,0.005757445,0.005504913,0.010703738,4916,5334,1.085028478,0.005830669,0.005687252,0.011037705,-7.32235E-05,-0.00018234,-0.000333968
11,Covent Garden,15552,18761,1.206340021,0.020683712,0.019698201,0.010661368,21704,23354,1.076022853,0.025742236,0.024900654,0.010946094,-0.005058524,-0.005202453,-0.000284726
