Id,name
30,Whitehall
99,Whitechapel
42,Westminster Abbey
40,West End of London
43,Waterloo
13,Victoria and Albert Museum
65,Victoria
106,Vauxhall
1,Trafalgar Square
14,Tower of London
18,Tottenham Court Road
46,The Strand
31,The Mall
5,Tate Modern
35,St. Jame's Park
10,St Paul's
67,St James's
22,St James Square
44,St Andrew Undershaft
37,Spitalfields
71,Southwark
23,South Bank
20,Soho
34,Shoreditch
41,Saint Pancras
7,Royal Festival Hall
73,Regent's Park Und.St.
72,Regent's Park
96,Pimlico
6,Piccadilly Circus
60,Pentonville
3,Parliament Square
122,Paddington
77,Oxford Street
16,Oxford Circus
24,Old Street
179,Old Kent Road
64,Old Change
85,Natural History Museum
69,Moorgate Railway Station
61,Middlesex Hospital
4,London Eye
98,London Bridge
70,Liverpool Street
12,Leicester Square
38,Lambeth Bridge
88,Knightsbridge
123,Kings Cross
17,King's Cross St Pancras
75,Kensington
94,Islington
39,Hyde Park west
49,Hyde Park east
54,Hyde Park Corner
105,Hoxton Rail Station
104,Hoxton
62,Holborn
8,Green Park
36,Grant's Quay Wharf
29,Fitzrovia
53,Farringdon
47,Euston
107,Elephant and Castle
27,Downing Street
59,Crane Court
11,Covent Garden
100,Clerkenwell
139,City of Westminster
25,City of London
21,City Hall
32,Chelsea Embankment
124,Chelsea
9,Charing Cross
74,Carlton Tower
19,Cannon Street Railway Bridge
76,Burton Court
15,Britannia
26,Brick Lane
45,Brackley Street
82,Borough Und.St.
33,Borough Market
50,Bloomsbury
66,Blackfriars
2,Big Ben
78,Bermondsey
95,Bayswater
84,Barnsbury
48,Barbican
79,Baker Street
81,Nine Elms
