Id,name
202,Woolwich Dockyard Railway Station
367,Wood Green
127,Wimbledon Common
188,Wimbledon
30,Whitehall
99,Whitechapel
42,Westminster Abbey
182,Westcombe Park Railway Station
579,West Norwood
103,West Holland Park
211,West Ham
40,West End of London
209,West Ealing
426,Wembley Stadium
43,Waterloo
91,Wapping
572,Wandsworth
322,Walthamstow
13,Victoria and Albert Museum
65,Victoria
106,Vauxhall
295,Upton Park
258,Tulse Hill Railway Station
1,Trafalgar Square
14,Tower of London
18,Tottenham Court Road
242,Tottenham
275,Tooting
261,Thornton Heath
46,The Strand
31,The Mall
131,The Hyde
5,Tate Modern
318,Sydenham
161,Surrey Quays
110,Stratford
166,Stoke Newington
35,St. Jame's Park
10,St Paul's
67,St James's
22,St James Square
44,St Andrew Undershaft
583,Sports Center:Middlesex County Cricket Club
37,Spitalfields
71,Southwark
260,South Hampstead
23,South Bank
20,Soho
223,Sleeping Beauty
87,Silvertown
34,Shoreditch
464,Shooters Hill
134,Shepherds Bush
174,Seven Sisters
41,Saint Pancras
130,Rush Common
7,Royal Festival Hall
576,Roehampton
200,Richmond Park
193,Richmond Gate Hotel
73,Regent's Park Und.St.
72,Regent's Park
341,Raynes Park
268,Queens Park
251,Putney
165,Plaistow
96,Pimlico
6,Piccadilly Circus
60,Pentonville
249,Peckham
3,Parliament Square
122,Paddington
77,Oxford Street
16,Oxford Circus
111,Oval
164,Olympic Park
24,Old Street
179,Old Kent Road
64,Old Change
592,NUMBER SIXTEEN HOTEL
86,Notting Hill
144,North Woolwich
247,North Acton
81,Nine Elms
575,New Victoria Hospital
235,New Cross
335,Neasden
85,Natural History Museum
142,Muswell Hill
300,Mortlake Railway Station
69,Moorgate Railway Station
376,Mitcham
90,Millwall
61,Middlesex Hospital
349,Merton
154,Maida Vale
143,Lower Clapton
4,London Eye
98,London Bridge
501,London (Beckton)
70,Liverpool Street
135,Limehouse
219,Leyton
327,Lewisham
12,Leicester Square
304,Lee Railway Station
38,Lambeth Bridge
208,Lambeth
88,Knightsbridge
123,Kings Cross
17,King's Cross St Pancras
305,Kidbrooke
56,Kew Royal Botanic Gardens
120,Kew
75,Kensington
573,Kensal Green
94,Islington
39,Hyde Park west
49,Hyde Park east
54,Hyde Park Corner
105,Hoxton Rail Station
104,Hoxton
112,Holloway
385,Holiday Inn London Ealing
62,Holborn
281,Highgate
169,Harringay
571,Hampstead Heath
126,Hammersmith
343,Hackney
121,Greenwich Park
176,Greenwich
8,Green Park
36,Grant's Quay Wharf
422,Golders Green
140,Fulham
221,Forest Hill
225,Forest Gate
29,Fitzrovia
132,Finsbury Park
53,Farringdon
47,Euston
107,Elephant and Castle
129,East London
310,East Finchley
178,East Acton
186,Earlsfield
93,Earls Court
152,Ealing
578,Dulwich
27,Downing Street
580,Dollis Hill
83,Docklands
101,days shoreditch
114,Dalston
187,Crystal Palace
290,Croydon Court Hotel
160,Crouch End
147,Craven Cottage; Fulham Football Club
59,Crane Court
11,Covent Garden
574,Colliers Wood
100,Clerkenwell
171,Clapham North
175,Clapham Junction
139,City of Westminster
25,City of London
21,City Hall
181,Chiswick
32,Chelsea Embankment
124,Chelsea
9,Charing Cross
118,Chalk Farm
156,Central Park Hotel Finsbury Park
74,Carlton Tower
19,Cannon Street Railway Bridge
63,Camden Town
163,Camberwell
76,Burton Court
15,Britannia
26,Brick Lane
172,Brentford
45,Brackley Street
82,Borough Und.St.
33,Borough Market
50,Bloomsbury
55,Blackwall
148,Blackheath
66,Blackfriars
2,Big Ben
97,Bethnal Green
78,Bermondsey
153,Belsize Park
582,Bellingham Railway Station
159,Beckton
95,Bayswater
146,Battersea
84,Barnsbury
210,Barnes
581,Barking
48,Barbican
194,Balham
79,Baker Street
239,Acton
