id,Name,visitor,visitor_percent,resident,resident_percent,net,net_point,net_percent
1,1,16615,0.006545704,10789,0.002749841,5826,0.003795863,0.3795863
2,2,11042,0.004350145,4126,0.001051612,6916,0.003298533,0.3298533
3,3,4583,0.001805535,3659,0.000932586,924,0.000872949,0.0872949
4,4,12556,0.004946606,4984,0.001270294,7572,0.003676312,0.3676312
5,5,10098,0.003978244,6546,0.001668408,3552,0.002309835,0.2309835
6,6,24532,0.009664713,19359,0.004934115,5173,0.004730598,0.4730598
7,7,7933,0.003125313,9229,0.002352237,-1296,0.000773076,0.0773076
8,8,9411,0.003707591,4643,0.001183382,4768,0.002524209,0.2524209
9,9,10020,0.003947515,11656,0.002970817,-1636,0.000976698,0.0976698
10,10,5334,0.002101401,5243,0.001336307,91,0.000765095,0.0765095
11,11,23354,0.009200624,18761,0.0047817,4593,0.004418924,0.4418924
12,12,24599,0.009691109,20804,0.005302409,3795,0.0043887,0.43887
13,13,13447,0.005297628,9665,0.002463362,3782,0.002834266,0.2834266
14,14,10102,0.00397982,8855,0.002256913,1247,0.001722906,0.1722906
15,15,12212,0.004811083,9425,0.002402192,2787,0.002408891,0.2408891
16,16,30274,0.011926852,26555,0.006768192,3719,0.00515866,0.515866
17,17,24382,0.009605619,14050,0.003580986,10332,0.006024633,0.6024633
18,18,14361,0.00565771,17217,0.004388174,-2856,0.001269536,0.1269536
19,19,2857,0.001125554,3552,0.000905314,-695,0.00022024,0.022024
20,20,13048,0.005140436,15663,0.003992099,-2615,0.001148337,0.1148337
21,21,4619,0.001819718,6086,0.001551166,-1467,0.000268552,0.0268552
22,22,6646,0.002618282,5777,0.00147241,869,0.001145872,0.1145872
23,23,5725,0.002255441,8146,0.002076207,-2421,0.000179234,0.0179234
24,24,11111,0.004377329,17290,0.00440678,-6179,-2.95E-05,-0.00294508
25,25,4935,0.00194421,9251,0.002357844,-4316,-0.000413634,-0.0413634
26,26,8678,0.003418816,11263,0.002870651,-2585,0.000548164,0.0548164
27,27,1415,0.000557458,1227,0.000312731,188,0.000244727,0.0244727
28,28,253,9.97E-05,632,0.000161081,-379,-6.14E-05,-0.00614079
29,29,10109,0.003982577,14138,0.003603415,-4029,0.000379162,0.0379162
30,30,3146,0.001239409,2947,0.000751115,199,0.000488294,0.0488294
31,31,1352,0.000532639,979,0.000249522,373,0.000283117,0.0283117
32,32,4276,0.001684588,5024,0.001280489,-748,0.000404099,0.0404099
33,33,10673,0.004204773,12983,0.003309035,-2310,0.000895737,0.0895737
34,34,15100,0.005948849,23147,0.005899579,-8047,4.93E-05,0.00492699
35,35,3146,0.001239409,3045,0.000776093,101,0.000463317,0.0463317
36,36,5648,0.002225106,7810,0.00199057,-2162,0.000234536,0.0234536
37,37,7849,0.00309222,11546,0.002942781,-3697,0.000149439,0.0149439
38,38,3414,0.001344992,3542,0.000902765,-128,0.000442226,0.0442226
39,39,6760,0.002663193,4092,0.001042946,2668,0.001620247,0.1620247
40,40,30134,0.011871697,17624,0.004491908,12510,0.007379789,0.7379789
41,41,6442,0.002537913,5476,0.001395693,966,0.00114222,0.114222
