id,name,shape/point/0/xCoord,shape/point/0/yCoord,shape/point/1/xCoord,shape/point/1/yCoord,shape/point/2/xCoord,shape/point/2/yCoord,shape/point/3/xCoord,shape/point/3/yCoord,shape/point/4/xCoord,shape/point/4/yCoord,shape/point/5/xCoord,shape/point/5/yCoord,shape/point/6/xCoord,shape/point/6/yCoord,shape/_closed,centroid/xCoord,centroid/yCoord,neighbor/0,neighbor/1,neighbor/2,neighbor/3,neighbor/4,neighbor/5,property/0/_name,property/0/_type,property/0/__text,property/1/_name,property/1/_type,property/1/__text,shape/point/7/xCoord,shape/point/7/yCoord,neighbor/6,shape/point/8/xCoord,shape/point/8/yCoord,neighbor/7,shape/point/9/xCoord,shape/point/9/yCoord,neighbor/8
1,Trafalgar Square,-0.1304619,51.50952,-0.13048266,51.507164,-0.1288407,51.505524,-0.12804,51.505642,-0.12629856,51.50756,-0.12742117,51.51031,-0.1304619,51.50952,true,-0.12820286,51.508026,9,12,22,27,30,31,N points,numeric,341.0,Colour,string,226;211;255,,,,,,,,,
2,Big Ben,-0.12498988,51.503284,-0.12284501,51.504097,-0.12235283,51.503895,-0.12092333,51.50053,-0.12194969,51.49792,-0.124708146,51.498528,-0.12562872,51.502274,true,-0.12388423,51.50103,3,4,27,30,32,38,N points,numeric,195.0,Colour,string,236;218;255,-0.12498988,51.503284,139,,,,,,
3,Parliament Square,-0.12562872,51.502274,-0.12844071,51.501415,-0.12767895,51.49747,-0.124708146,51.498528,-0.12562872,51.502274,,,,,true,-0.12659803,51.500362,2,27,38,42,,,N points,numeric,181.0,Colour,string,238;218;255,,,,,,,,,
4,London Eye,-0.12235283,51.503895,-0.12092333,51.50053,-0.11575814,51.50155,-0.115350746,51.502743,-0.119325526,51.505566,-0.12235283,51.503895,,,true,-0.11922811,51.50301,2,7,32,43,139,,N points,numeric,339.0,Colour,string,232;219;255,,,,,,,,,
5,Tate Modern,-0.0996684,51.51117,-0.101172544,51.510887,-0.102757394,51.50795,-0.10049875,51.504322,-0.09576946,51.505997,-0.095774494,51.510025,-0.0996684,51.51117,true,-0.09887503,51.508183,10,19,64,66,71,82,N points,numeric,283.0,Colour,string,219;226;255,,,,,,,,,
6,Piccadilly Circus,-0.13681328,51.50972,-0.13296866,51.513885,-0.13193259,51.513092,-0.13114649,51.510147,-0.1364111,51.50825,-0.13681328,51.50972,,,true,-0.13370655,51.51073,12,18,20,22,67,,N points,numeric,282.0,Colour,string,223;207;255,,,,,,,,,
7,Royal Festival Hall,-0.119325526,51.505566,-0.118760884,51.509274,-0.114957206,51.50917,-0.11388798,51.50396,-0.115350746,51.502743,-0.119325526,51.505566,,,true,-0.116880275,51.506317,4,23,32,43,46,,N points,numeric,263.0,Colour,string,225;217;255,,,,,,,,,
8,Green Park,-0.13928567,51.5051,-0.13762067,51.498478,-0.13936321,51.496693,-0.14712328,51.500336,-0.14521919,51.50616,-0.13928567,51.5051,,,true,-0.1413105,51.501682,35,54,65,67,96,,N points,numeric,214.0,Colour,string,239;210;255,,,,,,,,,
9,Charing Cross,-0.12602521,51.512352,-0.12250384,51.509583,-0.12383072,51.507286,-0.12629856,51.50756,-0.12742117,51.51031,-0.12602521,51.512352,,,true,-0.12526359,51.509224,1,11,12,30,32,,N points,numeric,127.0,Colour,string,223;211;255,,,,,,,,,
10,St Paul's,-0.0996684,51.51117,-0.101172544,51.510887,-0.104791895,51.51669,-0.10056313,51.51819,-0.09791676,51.51584,-0.0996684,51.51117,,,true,-0.1000148,51.514236,5,48,53,64,66,,N points,numeric,126.0,Colour,string,212;221;255,,,,,,,,,
11,Covent Garden,-0.123009674,51.516617,-0.12607147,51.514816,-0.12617052,51.51458,-0.12602521,51.512352,-0.12250384,51.509583,-0.11983813,51.510265,-0.11966766,51.514866,true,-0.12280494,51.51235,9,12,15,18,32,46,N points,numeric,287.0,Colour,string,217;209;255,-0.123009674,51.516617,62,,,,,,
12,Leicester Square,-0.12602521,51.512352,-0.12617052,51.51458,-0.13193259,51.513092,-0.13114649,51.510147,-0.1304619,51.50952,-0.12742117,51.51031,-0.12602521,51.512352,true,-0.1292174,51.51193,1,6,9,11,18,22,N points,numeric,234.0,Colour,string,220;207;255,,,,,,,,,
13,Victoria and Albert Museum,-0.17006476,51.502335,-0.1661832,51.49146,-0.17369328,51.490013,-0.17623834,51.49986,-0.17006476,51.502335,,,,,true,-0.17303614,51.496796,39,85,88,124,,,N points,numeric,193.0,Colour,string,251;195;255,,,,,,,,,
14,Tower of London,-0.07696808,51.513855,-0.08055141,51.50925,-0.07620093,51.506054,-0.068561725,51.509853,-0.07079764,51.513058,-0.076027654,51.514244,-0.07696808,51.513855,true,-0.07622623,51.508945,21,37,44,70,78,99,N points,numeric,201.0,Colour,string,217;243;255,,,,,,,,,
15,Britannia,-0.123009674,51.516617,-0.12607147,51.514816,-0.13051686,51.519302,-0.13082778,51.52127,-0.12301288,51.52147,-0.123009674,51.516617,,,true,-0.12664431,51.51887,11,18,29,50,62,,N points,numeric,303.0,Colour,string,208;202;255,,,,,,,,,
16,Oxford Circus,-0.13760921,51.516586,-0.13749374,51.516304,-0.13919978,51.512142,-0.1429249,51.511566,-0.14475934,51.51722,-0.14181499,51.518867,-0.13760921,51.516586,true,-0.14091066,51.51489,20,29,61,67,73,77,N points,numeric,268.0,Colour,string,219;201;255,,,,,,,,,
17,King's Cross St Pancras,-0.12050044,51.528862,-0.12479793,51.534164,-0.12808298,51.532555,-0.12643345,51.527386,-0.12084615,51.52586,-0.12050044,51.528862,,,true,-0.12494468,51.530575,41,50,60,84,123,,N points,numeric,182.0,Colour,string,190;191;255,,,,,,,,,
18,Tottenham Court Road,-0.12617052,51.51458,-0.12607147,51.514816,-0.13051686,51.519302,-0.13325234,51.51455,-0.13296866,51.513885,-0.13193259,51.513092,-0.12617052,51.51458,true,-0.13012072,51.515427,6,11,12,15,20,29,N points,numeric,225.0,Colour,string,215;204;255,,,,,,,,,
19,Cannon Street Railway Bridge,-0.093300104,51.512333,-0.08956932,51.510044,-0.08947395,51.50822,-0.0935506,51.504425,-0.09576946,51.505997,-0.095774494,51.510025,-0.093300104,51.512333,true,-0.09266935,51.50819,5,25,33,36,64,82,N points,numeric,63.0,Colour,string,219;231;255,,,,,,,,,
20,Soho,-0.13681328,51.50972,-0.13296866,51.513885,-0.13325234,51.51455,-0.13749374,51.516304,-0.13919978,51.512142,-0.13681328,51.50972,,,true,-0.13605359,51.512897,6,16,18,29,67,,N points,numeric,169.0,Colour,string,221;204;255,,,,,,,,,
21,City Hall,-0.07620093,51.506054,-0.077778056,51.49741,-0.0783414,51.49745,-0.0825411,51.507065,-0.081749424,51.508816,-0.08055141,51.50925,-0.07620093,51.506054,true,-0.07896656,51.505215,14,36,44,78,98,179,N points,numeric,148.0,Colour,string,222;245;255,,,,,,,,,
22,St James Square,-0.1364111,51.50825,-0.13114649,51.510147,-0.1304619,51.50952,-0.13048266,51.507164,-0.13423623,51.505505,-0.13657758,51.50697,-0.1364111,51.50825,true,-0.1327469,51.508064,1,6,12,31,35,67,N points,numeric,73.0,Colour,string,227;209;255,,,,,,,,,
