,index_right,area
,count,
id_left,,
1,1,0.39999425041958947
4,2,0.6863231958500472
5,3,0.32659109520351737
6,13,0.4938707807713964
7,2,1.1576391952538827
8,3,0.2958437182082594
9,7,0.5685749531795529
11,7,0.39418351390897133
12,11,1.532430191036981
13,2,1.1432673173847159
15,3,0.6902420848933658
16,11,0.7424064549492715
18,11,0.6532678220808154
19,3,0.44223557941158853
20,12,0.7869563747578378
21,4,0.35488189971098266
22,3,0.844976341558266
23,3,1.3619958457125165
24,8,0.8098111900874281
25,5,1.4064182523530866
26,10,0.2563351936861268
29,11,0.2759296946170376
30,1,0.36342129502185067
31,1,0.4385175610289727
32,3,0.9938241437493052
33,3,1.0447491267313593
34,18,0.7390440008045799
35,1,0.6728718095358129
37,6,1.1677795545101899
39,3,1.7490815906884105
40,4,0.869371967374147
41,3,0.5688704491439749
43,1,0.8258238132260214
44,3,1.9866485847049435
45,3,0.8085906684051904
46,8,1.6343446752336823
47,4,0.7933376590979102
48,3,2.2370566721125407
49,1,0.9775524853031559
50,6,45.123466119840465
53,4,1.862834615904413
54,3,7.98061733108213
55,5,6.95053249450089
59,2,2.058790044738497
60,3,0.7696502482939137
61,2,1.394366469839782
62,2,3.680886171624673
63,11,0.5140497164518516
65,3,0.8448580691605361
66,1,0.9040205838691158
67,14,38.00048494523921
70,3,1.3020332641445505
73,2,1.9869068153959581
74,6,3.7310064469072852
75,1,4.076489253008064
76,4,1.3100116595993008
77,16,2.8935776218380163
79,1,4.897196049069184
81,1,1.5273785031333993
82,2,8.833468568594483
83,2,1.9697474029853037
84,7,2.4792899258476497
85,1,9.224493861682832
86,14,9.685299940897883
88,1,9.242121184522805
91,2,7.091147500301992
93,3,6.322840850382609
94,17,5.13898599661178
95,1,1.9849923161528462
97,7,1.5423892560202932
98,3,2.7291080805759376
99,2,1.8547295021675771
100,6,3.1956425795228367
101,4,5.242342871717511
103,4,4.194400557303947
104,2,2.7278298123510862
105,5,4.195759935544982
106,6,4.58401830673881
107,4,12.867527630006656
110,2,5.852607007430863
111,2,7.147222431625116
112,1,22.838077926378862
114,15,8.559573045649177
118,17,9.57591248246254
121,7,4.440955582133735
122,6,2.39788500457392
123,1,5.121877894710352
124,4,9.729274338076795
126,4,14.298514733784481
127,2,3.6478681148001386
129,3,8.977914719155546
130,9,15.222181663436562
132,4,4.256474028628273
134,7,8.856722779633351
135,2,9.321640747600332
139,3,8.467681086544683
140,3,8.582929034179369
142,2,6.456965197361354
143,6,10.11205830712872
146,1,6.819384767104046
154,3,11.155410358726389
156,1,5.482882641361232
160,3,9.752620289525035
161,1,8.720673282783865
163,3,10.155986787658565
164,3,8.415847944585133
165,1,9.949101120224778
166,3,11.111435129763585
171,1,9.101400836486103
175,5,6.357145678577861
176,3,8.715809551578687
178,3,7.351802339749646
179,1,22.361937695785443
181,4,7.130963122397702
187,1,11.618630061665565
188,4,9.728154312703737
197,1,24.74241071320119
206,4,9.131797960054428
208,2,10.116745871133556
209,1,8.809987101973396
210,2,8.654416018157399
221,1,14.031603925761155
223,2,12.663032132475763
235,3,13.024857862774589
239,1,10.77753738778472
249,5,19.812879043692167
251,2,32.554881626747246
254,2,10.880184029019139
258,2,4.113431251065069
260,5,11.828774507126122
268,1,7.388674105957691
275,5,9.871926947754867
281,3,7.480327439114047
290,1,12.977785577938448
300,1,9.308274242458667
310,1,20.517765923755135
321,1,17.964461413600652
327,1,8.540348408383878
331,1,11.168429643243806
336,2,12.057136921419307
340,1,14.723373832202375
367,3,13.963586879914876
372,2,16.283804546265525
430,1,15.971781844590929
572,2,12.830135168442387
574,1,16.19210646701808
578,2,12.132390073893204
