id_left,arcades,cabaret,casinos,culturalcenter,festivals,galleries,jazzandblues,movietheaters,museums,musicvenues,opera,psychic_astrology,social_clubs,theater,wineries
1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
6,0,1,0,0,0,0,2,0,0,6,0,0,0,4,0
7,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
9,0,0,0,0,0,2,0,0,1,3,0,0,0,1,0
11,0,1,0,0,0,1,0,0,1,1,0,2,0,1,0
12,0,0,1,0,0,2,0,1,0,3,0,1,1,2,0
13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
15,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
16,0,0,0,0,0,7,2,0,0,1,0,0,1,0,0
18,0,0,1,0,0,1,3,0,0,4,0,0,1,1,0
19,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0
20,0,0,0,0,0,4,2,1,0,2,0,0,3,0,0
21,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
22,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
23,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0
24,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0
25,0,0,0,0,0,2,0,0,1,0,0,0,1,0,1
26,0,0,0,1,0,6,0,1,0,2,0,0,0,0,0
29,0,0,0,0,0,3,1,0,0,3,0,0,1,2,1
30,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
31,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
32,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
33,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
34,0,0,0,0,0,7,3,0,0,7,0,0,1,0,0
35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0
39,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0
40,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0
41,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0
43,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
44,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1
45,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0
46,0,0,0,0,0,3,0,0,1,3,0,0,0,1,0
47,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0
48,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
49,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,0,0,1,0,0,1,0,2,1,1,0,0,0,0,0
53,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0
54,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
55,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0
59,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
60,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
61,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
62,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
63,0,0,0,0,0,1,0,0,1,8,0,0,0,1,0
65,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0
66,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
67,0,0,1,0,0,10,0,0,0,1,0,0,2,0,0
70,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1
73,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
74,0,0,1,0,0,0,0,0,0,2,0,0,1,2,0
75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
76,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0
77,0,0,0,0,0,9,0,0,1,2,0,0,2,1,1
79,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
81,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
82,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
84,0,0,0,1,0,2,0,0,1,2,0,0,1,0,0
85,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
86,0,0,0,0,0,9,0,0,0,3,0,0,0,0,2
88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
93,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1
