id_left,active_%,arts_%,auto_%,beautysvc_%,education_%,eventservices_%,financialservices_%,food_%,health_%,homeservices_%,hotelstravel_%,localflavor_%,localservices_%,massmedia_%,nightlife_%,pets_%,professional_%,publicservicesgovt_%,realestate_%,religiousorgs_%,restaurants_%,shopping_%
1,0,0.027777778,0,0.027777778,0,0.138888889,0,0.083333333,0,0,0.111111111,0,0,0,0.166666667,0,0,0,0,0,0.277777778,0.166666667
2,0,0,0,0,0,0,0,0.666666667,0,0,0,0,0,0,0.333333333,0,0,0,0,0,0,0
3,0.047619048,0.047619048,0,0.095238095,0,0.047619048,0,0.047619048,0,0,0.047619048,0,0,0,0.142857143,0,0.047619048,0,0,0,0.142857143,0.333333333
4,0.04,0.08,0,0,0,0.12,0,0.04,0,0,0.12,0,0.04,0,0.2,0,0,0,0,0,0.36,0
5,0,0.054054054,0,0.027027027,0,0.081081081,0,0.216216216,0,0,0.054054054,0,0,0,0.135135135,0,0,0,0,0,0.297297297,0.135135135
6,0,0.037344398,0,0.066390041,0,0.066390041,0,0.145228216,0.008298755,0,0.037344398,0,0,0,0.195020747,0,0,0,0,0,0.34439834,0.099585062
7,0,0.020408163,0,0.020408163,0,0,0,0.285714286,0,0,0,0,0,0,0.12244898,0,0,0,0,0,0.387755102,0.163265306
8,0,0.090909091,0,0.045454545,0,0.090909091,0,0.181818182,0,0,0.090909091,0,0,0,0.136363636,0,0,0,0,0,0.227272727,0.136363636
9,0,0.033557047,0,0.100671141,0,0.046979866,0,0.154362416,0.020134228,0,0.026845638,0,0,0,0.214765101,0,0,0.013422819,0,0.006711409,0.281879195,0.100671141
10,0,0,0,0.038461538,0,0.057692308,0,0.307692308,0,0,0.038461538,0,0,0,0.192307692,0,0,0,0,0,0.346153846,0.019230769
11,0,0.01510574,0,0.090634441,0.006042296,0.024169184,0,0.13897281,0,0.003021148,0.006042296,0,0.012084592,0.003021148,0.111782477,0,0,0,0,0,0.241691843,0.347432024
