,category,coordinates,id,lat,lng,name,price_level,rating,review_count
0,active,POINT (-0.129904747009277 51.5013431035763),y7oehc1rmRuxOpbl3dCclg,51.5013431035763,-0.129904747009277,Santander Cycle Hire,1,4.5,31
1,active,POINT (-0.0336241722106934 51.4999272055234),3oo07zTDukKD0PcYAxhOEg,51.4999272055234,-0.0336241722106934,Surrey Docks Farm,1,4.5,13
2,active,POINT (-0.0747679993510246 51.5469703674316),Hs9hlqyrJJX4POp_N-ssmg,51.5469703674316,-0.0747679993510246,Dalston Roof Park,1,4.5,8
3,active,POINT (-0.100025 51.494588),S4BHzO2CqD2_rrIx4bE0VQ,51.494588,-0.100025,Super Bowl Elephant And Castle,1,3.5,6
4,active,POINT (-0.221199430525303 51.4867284774948),xzz3S0S1drUmsWALXEisiw,51.4867284774948,-0.221199430525303,Café Floral,1,3.5,3
5,active,POINT (-0.0914353515030373 51.5666170714782),wALgCBlICJEFHnFckrZrCw,51.5666170714782,-0.0914353515030373,Stoke Newington West Reservoir Centre,1,2.5,3
6,active,POINT (-0.0869240239262581 51.5048018924077),pSkliKtU7EccfuDnyX4YMA,51.5048018924077,-0.0869240239262581,Mindthegaptours,1,5.0,2
7,active,POINT (-0.1886123 51.5164566),1BDVr5WHXGCacTgzValXXw,51.5164566,-0.1886123,Doctor Edwards Bike Surgery,1,5.0,1
8,active,POINT (-0.128385 51.523967),6XX-pQkWThToOPKiWdrfoQ,51.523967,-0.128385,Bloomsbury Bowling Lanes,2,4.0,77
9,active,POINT (-0.071842 51.521793),Hg7lZOV2fSP5sg297tJAHQ,51.521793,-0.071842,All Star Lanes,2,4.0,55
10,active,POINT (-0.18823186132216 51.51384789849),_sbUzSWkfGh6guAiNku63A,51.51384789849,-0.18823186132216,All Star Lanes,2,3.5,46
11,active,POINT (-0.13688952293576 51.510755271562),1Ua8ASKwhPR2pFio5orzKw,51.510755271562,-0.13688952293576,Rapha Cycle Club,2,4.0,21
12,active,POINT (-0.122706 51.519578),VdD8N3oy7XXgs211TlDU9w,51.519578,-0.122706,All Star Lanes,2,4.0,20
13,active,POINT (-0.0890243423278889 51.5061715024745),ZUeUUhY86lZ2EiYESVHKaQ,51.5061715024745,-0.0890243423278889,On Your Bike,2,3.5,19
14,active,POINT (-0.0722893 51.5217064),KHcUiP6jZJnMvEQmAqrthw,51.5217064,-0.0722893,Junkyard Golf Club,2,4.0,19
