id,coordinates,name,rating,review_count,price_level,category
y7oehc1rmRuxOpbl3dCclg,POINT (-0.129904747009277 51.5013431035763),Santander Cycle Hire,4.5,31,1,active
3oo07zTDukKD0PcYAxhOEg,POINT (-0.0336241722106934 51.4999272055234),Surrey Docks Farm,4.5,13,1,active
Hs9hlqyrJJX4POp_N-ssmg,POINT (-0.0747679993510246 51.5469703674316),Dalston Roof Park,4.5,8,1,active
S4BHzO2CqD2_rrIx4bE0VQ,POINT (-0.100025 51.494588),Super Bowl Elephant And Castle,3.5,6,1,active
xzz3S0S1drUmsWALXEisiw,POINT (-0.221199430525303 51.4867284774948),Café Floral,3.5,3,1,active
wALgCBlICJEFHnFckrZrCw,POINT (-0.0914353515030373 51.5666170714782),Stoke Newington West Reservoir Centre,2.5,3,1,active
pSkliKtU7EccfuDnyX4YMA,POINT (-0.0869240239262581 51.5048018924077),Mindthegaptours,5,2,1,active
1BDVr5WHXGCacTgzValXXw,POINT (-0.1886123 51.5164566),Doctor Edwards Bike Surgery,5,1,1,active
6XX-pQkWThToOPKiWdrfoQ,POINT (-0.128385 51.523967),Bloomsbury Bowling Lanes,4,77,2,active
Hg7lZOV2fSP5sg297tJAHQ,POINT (-0.071842 51.521793),All Star Lanes,4,55,2,active
_sbUzSWkfGh6guAiNku63A,POINT (-0.18823186132216 51.51384789849),All Star Lanes,3.5,46,2,active
1Ua8ASKwhPR2pFio5orzKw,POINT (-0.13688952293576 51.510755271562),Rapha Cycle Club,4,21,2,active
VdD8N3oy7XXgs211TlDU9w,POINT (-0.122706 51.519578),All Star Lanes,4,20,2,active
ZUeUUhY86lZ2EiYESVHKaQ,POINT (-0.0890243423278889 51.5061715024745),On Your Bike,3.5,19,2,active
KHcUiP6jZJnMvEQmAqrthw,POINT (-0.0722893 51.5217064),Junkyard Golf Club,4,19,2,active
cok4vtdsWxDW7G_i9b91Sw,POINT (0.00161161547191807 51.5026203055832),Brooklyn Bowl,3.5,13,2,active
DTSEdaapRZLI2suUKt17Xw,POINT (-0.165235 51.5225869),Indaba Yoga Studio,3.5,12,2,active
GUFEVe5IZM3GG5yaOUiGbQ,POINT (-0.10323241904905 51.5179882330013),Urban Golf Smithfield,4,12,2,active
SX6GszzM7CbpknSwHI7txQ,POINT (-0.2153933 51.4643238),Eddie Catz,3,8,2,active
QGjUR-B_l5CZjsJGemJ_7A,POINT (-0.1766591 51.493269),Evolve Wellness Centre,4,8,2,active
2A-NDvrrGFBU6ciUY8OXzQ,POINT (-0.120726649344051 51.5305145130372),Hurricane Room,3.5,7,2,active
kgBdeOR-wnA8XOjI0PeEOg,POINT (-0.2077025 51.5191147),Portobello Juice Cafe,4,6,2,active
uqsufvaUtHpydcIlIeYKsw,POINT (-0.08816740000000001 51.5172793),Light Centre Moorgate,3.5,6,2,active
8dRL9p4TAuickCWe0_GDMg,POINT (-0.11343 51.5009995),House Of VANS London,4,4,2,active
fIo575GLdrm9-bMEykueRg,POINT (-0.10335112802064 51.5699642965491),Finsbury Park Cafe,4.5,4,2,active
GKq6tBv9JR8qzQhdiLAgVg,POINT (-0.0626429 51.4589138),Cafe on the Rye,2.5,3,2,active
S5ZzvZapJLkVE4aArTyfVw,POINT (-0.035342 51.3946952),Amida Spa Beckenham,4,3,2,active
QYECg-yX22jpo04qrfwiGQ,POINT (-0.1772002 51.4136748),Sports Direct,2.5,3,2,active
t6HIy9GdFzCbzncEKs7rWw,POINT (-0.075572 51.39745),J R Cycles,4.5,3,2,active
wxIvOAeXzMF6e6QAc6ZOoA,POINT (-0.105893 51.564645),Arsenal Store,3.5,3,2,active
tc-MQy68rbjUbbz655kTsg,POINT (-0.2573903 51.4320843),Fordham Sports Cricket Specialists,3,2,2,active
VkYtb5-m7gEz3p40HPxuHQ,POINT (-0.078622 51.517782),Ten Health & Fitness,4.5,2,2,active
J2s4ebb8yUYpNjUCYLSl0A,POINT (-0.215181 51.460086),Physio 4 Life,4,2,2,active
_yCZjlilkxnL-bsjOCY6tQ,POINT (-0.12843 51.52384),Kingpin Suite,5,2,2,active
dPWuM4xIA81szVhjsMXgrg,POINT (0.004405 51.458435),Pedal It,2.5,2,2,active
Bs0slgYRk26ekXnjEyBYvg,POINT (-0.0983755 51.5392799),Mata Mata,2.5,2,2,active
foHJTB2EVyq_RrDrS7mjNw,POINT (-0.0238186 51.5834095),J D Sports Fashion,1,1,2,active
exEFtMxu79wioA6bbW01Yg,POINT (-0.0322671 51.4067327),Deens Garage,5,1,2,active
3K0Nc7s5y3nSCKuPoWG0gA,POINT (-0.1324709 51.5096468),Zouk Lambada UK,5,1,2,active
N4QXIZbBByLhJUA22-1zmQ,POINT (-0.1911643 51.5497947),Health Town,3,1,2,active
Ej-ZtRQdUoKJupi-WST5ZQ,POINT (-0.1110998 51.5414199),Barnsbury Square,4,1,2,active
v6LIdIOZp_nDh7Dk_kDR_g,POINT (-0.0010658 51.6072122),Swift Supplements,4,1,2,active
521IPJY6X3-T_PpyuQ7-YQ,POINT (-0.1289 51.63297),Food Palace,4,1,2,active
1ZVWnxQW5GFxtQnXNzN3ZQ,POINT (-0.143972 51.50814),The May Fair Hotel,3.5,64,3,active
s0W-AbYi0mGw6egZ2rk_Ow,POINT (-0.191263501370185 51.5010472703868),Equinox Kensington,3.5,24,3,active
IAIG4QvARG-qRDUcOjOmow,POINT (-0.11949535934287 51.5013133898353),Namco Funscape,3,23,3,active
dfMAWYxzksqcqoSEHNsUOg,POINT (-0.138702392578125 51.5119475826494),triyoga,3.5,15,3,active
745tBtXfqr0EHtP3w7q2Vg,POINT (-0.1061541 51.5208536),The Aquarium,3.5,13,3,active
jyyWdZLzyDQkU3A6umyncw,POINT (-0.07705585824871131 51.5192987119989),Evans Cycles,2.5,9,3,active
0Po5pG8_WumGCbsujcZ_BA,POINT (-0.2044122 51.4742152),The Power Yoga Company,4.5,6,3,active
QHDddjQZjG29hPRdwt8gsQ,POINT (-0.09671920000000001 51.5612444),Sargent & Co. - Bespoke Bicycle Shop,3,5,3,active
iaDoy2PGdJxlWA1iBsdSLg,POINT (-0.127016574144363 51.5000152587891),Figleaves.co.uk,2,4,3,active
uACSE-20CRzp4TDOz76mEw,POINT (-0.125900515955891 51.4853799021416),Embody Wellness,4,4,3,active
04mg2hr9ueT9fNnJzCjsPQ,POINT (-0.0940801 51.500823),Borough Studios,4,2,3,active
HKvo4awr5AAlLSHZvvWACw,POINT (-0.133107 51.50716),Farlows Of Pall Mall,2,2,3,active
VxUQhqNwBp9ELqh39VWcSA,POINT (-0.004892 51.506646),East River Spa,4.5,2,3,active
oAlgTtnysSfIbV8dN5Q6NA,POINT (-0.166979 51.492948),KX Chelsea,5,2,3,active
vOGeVzepSN7NgByuBrvi3w,POINT (-0.15541 51.527225),Tennis Regents - Hyde Park,3,1,3,active
5xzjxVzG_M3F69nfMe4FNQ,POINT (-0.1308444 51.5200689),Cloud 9 Cycles,5,1,3,active
blMqQW76JjZ-NSs8YE3dNA,POINT (-0.13724 51.517469),Agua At Sanderson,5,1,3,active
Ayzc9Hx6syRYvZ5paGGywA,POINT (-0.1622325 51.354699),"Juniors Plus, Hairdressers",3.5,3,4,active
SoVjqN1rnULwSVGoN7xXFw,POINT (-0.198323 51.450979),Vitality Centre,2.5,2,4,active
m2OdEVTBfso2I0AnCEKSiA,POINT (-0.159017 51.50248),Royal Thames Yacht Club,5,1,4,active
uNBw-V4ZYn-cXt4fc9Jw9Q,POINT (-0.12758 51.50954),National Portrait Gallery,4.5,188,1,arts
wDeBnvcwVI5rrMnKt-ATSA,POINT (-0.126866769172693 51.4907293031787),Tate Britain,4.5,127,1,arts
MIhWaS_eQbsS9AId-C419w,POINT (-0.09682952781520759 51.5176485154852),Museum Of London,4,114,1,arts
hF7L2L1pcPqNrE0js9xMDw,POINT (-0.153022552114862 51.5174316756205),The Wallace Collection,4.5,104,1,arts
V0IimLA1NLpbitl7SiOskA,POINT (-0.158737 51.490707),Saatchi Gallery,4.5,99,1,arts
Q0qaACk-ySyeqjFzdK94dg,POINT (-0.139058 51.514935),The Photographers' Gallery,4.5,47,1,arts
BDIpKgowzdAd3qqjSjOoOQ,POINT (-0.125438216602333 51.5176490927972),Camera Museum,4,44,1,arts
VL8v-jEvXXpPH7iZ8-lA6A,POINT (-0.175034 51.504749),Serpentine Galleries,4,44,1,arts
Ps63PCEsGOvHmSZjqijR5g,POINT (-0.126756 51.508793),St Martin in the Fields,4.5,44,1,arts
KibX1drMsr4bmfFYj5BkMw,POINT (-0.13033772564174 51.514867642482),The Crobar,4,41,1,arts
0PFHwv7drk8VCARhecpX0A,POINT (-0.0918525573030515 51.5070433706857),Clink Prison Museum,3,38,1,arts
942OQcUtfIjYE_XakkgdNA,POINT (-0.117566460750618 51.5115565765913),The Courtauld Gallery,4.5,34,1,arts
_bAZZTyvZTC1vTdfZlXGWA,POINT (-0.07007284597038969 51.5160847710173),Whitechapel Gallery,3.5,27,1,arts
5Ide-FVDXeXQ8cT4OXrxKA,POINT (-0.177454 51.548845),The Freud Museum,4,26,1,arts
6fOrTxGXuOCWklyNaaGrUQ,POINT (-0.0859307250688582 51.4463139325697),Dulwich Picture Gallery,4,25,1,arts
PBfLMXN2M0Nn0yorCcOnqg,POINT (-0.08864030000000001 51.5050713),The Old Operating Theatre,4.5,21,1,arts
AuRbCdbDEetUNlF6mIJpng,POINT (-0.053114 51.514333),The George Tavern,4,19,1,arts
AVPhzb0mKoiLmC45HWHl-A,POINT (-0.007975100000000001 51.4790404),The Fan Museum Trust,4.5,18,1,arts
blPVfo35hRTG-0YSwmw9uw,POINT (-0.0797796249389648 51.5051364249445),The Scoop at More London,4.5,18,1,arts
TJdjTGB0ub9mBnnAY9SpiA,POINT (-0.008341537773016459 51.5840633321221),Gods Own Junk Yard,4.5,16,1,arts
yMdbYof6WRVJFxOisxUdoA,POINT (-0.12518990987109 51.507801677738),Benjamin Franklin House,3.5,15,1,arts
aDM7ofXY4EfM8WvV7FVqkg,POINT (-0.0877742274352333 51.5140257143516),Bank Of England Museum,4,12,1,arts
z8ywlh1CGUeQVuhDDowsxA,POINT (-0.09636402128972101 51.571962074149),The Finsbury,4,12,1,arts
yckLgWUnrr2AdkDCfz4PKA,POINT (-0.121645615008902 51.5252097167853),The Foundling Museum,4,12,1,arts
48-U9KkcT09vEYpeD2CLRA,POINT (-0.16007 51.486013),National Army Museum,4.5,12,1,arts
lw9lEkGy_yvjQQoqWKB2AA,POINT (-0.1460565 51.5130575),Handel & Hendrix in London,4.5,12,1,arts
4oCsLusUzKXYwDJhMuOItQ,POINT (-0.136642456054688 51.5642660244139),The Hideaway,3.5,11,1,arts
NLABAUxiiVqkqLIOmkdneA,POINT (-0.0716229 51.5244724),The Brick Lane Gallery,2,11,1,arts
mfX3NkNRyhyB7W9F7uKAVA,POINT (-0.113720720506352 51.4616655419757),The Prince Albert,3.5,11,1,arts
1ykMbCK-N53D3jfjvCFlSA,POINT (-0.183591842651367 51.5510586247943),Camden Arts Centre,4.5,10,1,arts
XvV13V0vHowMUe4WaE1I2Q,POINT (-0.09492100000000001 51.530278),Victoria Miro Gallery,4.5,10,1,arts
1IfmFp49yxfCQwVEyymIyg,POINT (-0.1444712 51.5371325),Jewish Museum London,4,10,1,arts
SK_AoAnZmZoh-H1_Tv8Abw,POINT (-0.138446 51.557143),Boston Arms,3,10,1,arts
eXp-OnzLT6pi7idx97TP9Q,POINT (-0.08013099999999999 51.527616),Troy Bar & Restaurant,4,9,1,arts
DDnC20ZpVzy4GWDkNA_Xww,POINT (-0.05674 51.52968),Resistance Gallery,4.5,9,1,arts
r0vtSl6SbedlVQRRXx_vGg,POINT (0.000904502362313964 51.5114023741095),West 12 Shopping Centre,3,9,1,arts
BKxYg9gu-ROy8fVdVpImnw,POINT (-0.0921868670680626 51.5157564364027),Guildhall Art Gallery,4.5,9,1,arts
8u-RKYet2Ph_GIsuBW5bsw,POINT (-0.120335 51.534231),London Canal Museum,4.5,8,1,arts
CUJ_3VoaJ4bouNEQirg91g,POINT (-0.168133 51.5210862),Lisson Gallery,4,8,1,arts
v15tbk_tQ1cyyYNFqxfnDA,POINT (-0.075875 51.543285),Power Lunches Arts Cafe,3.5,8,1,arts
NOUL5kIP9ruxX7V773NrMQ,POINT (-0.26771812200931 51.492862405716),Connolly's Chiswick,3.5,7,1,arts
OOIT6B6Yt1tdj2uSsiVzIA,POINT (-0.020380074856059 51.5908999416466),William Morris Gallery,4,7,1,arts
Iq7bIqtYXq9-i-UbpBdhMA,POINT (-0.1326435 51.5207403),RADA Studios,4.5,6,1,arts
rCaGvbZ-3Daw2R1wy6I3ow,POINT (-0.1004488 51.5438937),Estorick Collection,4.5,6,1,arts
EBNLAO1di9dHYePE4BTT3w,POINT (-0.153301 51.546202),The Zabludowicz Collection,4.5,6,1,arts
vtncqGQ0RGTCWNRGeKaOHA,POINT (-0.068554 51.468194),Small White Elephant,4.5,5,1,arts
wAisBSNKI6feFd2kQvBQ7w,POINT (-0.138404 51.526399),Camden Peoples Theatre,4.5,5,1,arts
BTvMIkafND9Gy4tYdbf6qw,POINT (-0.0428515 51.523859),Drapers Bar and Kitchen,3,5,1,arts
elfD9MftHSb8-gj7xuzzIw,POINT (-0.09492100000000001 51.530278),Parasol Unit,4,5,1,arts
1DMAgvbg5VXtZ4vewlt1Kw,POINT (-0.107047997415066 51.5486755371094),The Lamb,4,5,1,arts
tHkqxUBbtgfa8VDVqLCxTA,POINT (-0.116744 51.513976),LSE Student Union,3.5,4,1,arts
7DvrWDW500rWrKQliT_IeQ,POINT (-0.126998727402006 51.5137779806089),Seven Dials Club,4,4,1,arts
3xU718hYKIuwr_IbkgGdDQ,POINT (-0.1349588 51.5091499),Jermyn Street Theatre,4,4,1,arts
gdrl_P2Xo6MMvZltgyQ5hw,POINT (-0.056304931640625 51.5328821764466),DegreeArt,4,4,1,arts
5Mm78ZdTq-66yKhHi7oqIA,POINT (-0.0808073258652442 51.5038976218874),Unicorn Theatre,4,3,1,arts
QT-Ly7uUquK4kdi40Y0XcA,POINT (-0.056701 51.526549),10 Gales,5,3,1,arts
Vi-Q44sv1tqiGa-zlgT7cg,POINT (-0.10821 51.50806),gallery@oxo,3.5,3,1,arts
jGrkHRTaSCGBswcjg4qfMw,POINT (-0.130201 51.527087),The Crypt Gallery,3.5,3,1,arts
rcMiC7eE7sGcVADUVZPAZw,POINT (-0.1139852 51.4618193),Photofusion Gallery,4.5,3,1,arts
mvoqEu5WQSju90FCXEA3yg,POINT (-0.07804 51.546324),Subtitles,4.5,3,1,arts
0e9josJue4teJZY2mdMQIg,POINT (-0.25562 51.50368),Vintage Wine Gifts,2,3,1,arts
hxvnZr9KaMgQCoYyIhHlKA,POINT (-0.187878 51.44179),Tara Theatre,4.5,3,1,arts
EhEzIcaAjMYQUd5feYaD0w,POINT (-0.05293 51.51436),Eastend Cabaret,4.5,2,1,arts
tyvMjNHcFH5li7B_7OwWkQ,POINT (-0.06291099999999999 51.493676),Vibe Gallery,4,2,1,arts
jmhGQutSo0s3EU5QEUuGrA,POINT (-0.021134 51.540207),Stour Space,4,2,1,arts
dp_tffydDipJ47rKVhSNcA,POINT (-0.141596 51.518446),Nettie Horn,4,2,1,arts
RkQTtIdpC8dA2n0kDTLbhw,POINT (-0.023148 51.542966),The Elevator Gallery,4.5,2,1,arts
M_4a_IgILULJ1hMy1GNEPA,POINT (-0.08328000000000001 51.5262049),Red Gallery,3,2,1,arts
PdobJLPaB-Zz_mEbYX9r3g,POINT (-0.197963325130197 51.5517344256622),Monsters Of Art Studio And Gallery,5,2,1,arts
mJ2prFOhbgJXCFbvv05O8Q,POINT (0.0090034 51.5683582),Luna Lounge,4.5,2,1,arts
hwXn-ebwmBDsGWTzVaEABA,POINT (0.00461330209964217 51.5222066460632),Arch1,4,2,1,arts
Gf7ocwPdS9HXKANzVCdL-A,POINT (-0.117566460750618 51.5115565765913),The Cortauld Gallery,4.5,2,1,arts
KlZuWEg60w8-i2RPNFNHzg,POINT (-0.0737111 51.5161928),Women's Library,5,2,1,arts
9jnQkelyf8TfHiypvujBwQ,POINT (-0.0231933 51.5424016),Schwartz Gallery,3.5,2,1,arts
CHaoAdrKelz0cr4ABeyx9g,POINT (-0.110434 51.4877),Camera Club,4,2,1,arts
HpFjdqv4QN7o40RcEUMHKQ,POINT (-0.1093237 51.617336),The Inn On The Green,4,2,1,arts
Hd-brGpvUqU6_bz5sm01Sg,POINT (-0.127742007374763 51.510799407959),Tender Product,4.5,2,1,arts
w5n6I_NezWT13OTMx1CevQ,POINT (-0.0770500004291534 51.4739990234375),New Gallery London,5,1,1,arts
MrVPDXVO3Qgn6oWz2day2w,POINT (-0.0831572 51.5247955),71A,4,1,1,arts
RIeJL0uMeFJyrcOUgElp9Q,POINT (-0.0259554013609886 51.4747054155083),Vinyl Deptford,5,1,1,arts
GaKc5G8JS8XlMKsFxsp5Vg,POINT (-0.141448846557637 51.5891166710637),Bonafide Studio,1,1,1,arts
V3A9g_v0bvF_7hx84kVKSA,POINT (-0.105154 51.513349),St. Bride Foundation,4,1,1,arts
FwzmXKoDaImOYUzR3526EQ,POINT (-0.121472 51.5071),Embankment Pier,3,1,1,arts
1a1XBLdgMtMt6HiZcV2smQ,POINT (-0.1416344 51.5106097),Helly Nahmad Gallery,5,1,1,arts
mcTFQxWYsxPfyA69kULljQ,POINT (-0.09963 51.467019),The Junction,5,1,1,arts
4fBJnGpY1SUyCHgmkoq9DQ,POINT (-0.155793 51.474211),The Halo,5,1,1,arts
5rXUEcOAORmQtFLY_J5Wsg,POINT (-0.0390237 51.5312506),Magus & the Fool - Art Café,5,1,1,arts
4hncLFWWr3MbaZ2lkhS6FQ,POINT (-0.072462223470211 51.5251792682723),state51,5,1,1,arts
vys1I0xg3NWZL7pO8-X37w,POINT (-0.074741 51.51958),Spitalfields Art Market,3,1,1,arts
#NAME?,POINT (-0.137662913803746 51.5146462266357),Summer Show,4,1,1,arts
yDzDAmIcg9or-Bo08qietw,POINT (-0.0557798 51.5564188),Jackdaw,5,1,1,arts
GBSQSj8sehJZ2H7LXjefRw,POINT (-0.0747010136102655 51.565938821483),The Others,4,1,1,arts
my0RbO13hWmkde9CdHK97A,POINT (-0.0561063873108196 51.5369523332505),St Joseph's Hospice,5,1,1,arts
VuoFDflmZya7IEBcRtR1Vg,POINT (-0.216521318419733 51.4232730425922),Wimbledon Museum,4,1,1,arts
wD0BMblDiufinDO24o8x8Q,POINT (-0.0971089400017153 51.5081126650366),Shakespeare's Globe Theatre,4.5,238,2,arts
ppBpTDeBv9rOpunWbobFzw,POINT (-0.177414610229825 51.5009964375442),Royal Albert Hall,4.5,206,2,arts
Z8x3ohWA5FJSHXw8D9sOuA,POINT (0.00291824340820312 51.5028390990077),The O2,4,191,2,arts
jBI78K2wz_PcJMrF9rCDNg,POINT (-0.138359069824219 51.5346440882812),KOKO,4,158,2,arts
E43MdoA7zkZ6SnPjAJaTvA,POINT (-0.135575861793962 51.5106025898049),Brasserie Zédel,4,141,2,arts
PA45Xv1AQ1gFwXyqHWG2sQ,POINT (-0.1744201 51.4852959),Big Easy,3.5,139,2,arts
0W8xMW9SF1_3_6wFcILF-A,POINT (-0.150961 51.543409),Roundhouse,4.5,129,2,arts
yt20lJZzrxwFdN-guMMywA,POINT (-0.078913 51.526626),Cargo,3,117,2,arts
Px5vTIY3_lb6vJOnerjW8A,POINT (-0.19190476580433 51.488822437999),The Troubadour,4,91,2,arts
dyNKRpQAZexiob71s2QRLA,POINT (-0.139623144472486 51.5129631039042),Ain't Nothin' But...,4,91,2,arts
0tCrGhSN6aSrOUemGCVhxA,POINT (-0.08108854293823239 51.5222692197122),The Queen of Hoxton,3.5,78,2,arts
QWPofBYWbpZcG9AlHzBzCg,POINT (-0.121572 51.512018),London Transport Museum,4.5,76,2,arts
I0sKyehdq3iKZ6GI5K5Gag,POINT (-0.136678 51.509699),Caffé Concerto,2.5,66,2,arts
zZq2AZi2N1CJHRs1Gq5YfA,POINT (-0.120840203374542 51.5307732176212),Scala,4,65,2,arts
AJ7i8Xqyx70wpcTTcK4GFA,POINT (-0.117102253177384 51.5110614108427),Somerset House Terrace,4.5,65,2,arts
W2EVbmZJca4guJFNJQVNHw,POINT (-0.080219321432476 51.524399848824),The Old Blue Last,3.5,64,2,arts
-5iFMr_Ew9Tkz9iK5tNBMA,POINT (-0.130093499999995 51.5939065176711),Alexandra Palace,4,63,2,arts
_KHr_QRAn5-czkDkonAdhA,POINT (-0.140846 51.5174),The Social,4,61,2,arts
gyzSbHKhJLjj0CJEMR1IeA,POINT (-0.0715507998863814 51.5212392528136),93 Feet East,3.5,59,2,arts
