,category,coordinates,id,lat,lng,name,price_level,rating,review_count
0,arcades,POINT (-0.0668924 51.4679321),8qvqsxVHTZXMwp6TiMtuPQ,51.4679321,-0.0668924,The Four Quarters,2,4.0,14
1,arcades,POINT (-0.112625621259212 51.5227696778631),FQvG1O9GakLTYZKNdofjZQ,51.5227696778631,-0.112625621259212,PimpShuei,2,5.0,9
2,arcades,POINT (-0.190627 51.501461),fipR8hrTo8N9ZHc0VWoFGA,51.501461,-0.190627,Genji Sushi Bar,2,4.0,6
3,arcades,POINT (-0.11949535934287 51.5013133898353),IAIG4QvARG-qRDUcOjOmow,51.5013133898353,-0.11949535934287,Namco Funscape,3,3.0,23
4,arcades,POINT (-0.09893804169882971 51.494700415716),BC1KD_JwndRuP5EdBuvD9A,51.494700415716,-0.0989380416988297,The Coronet,3,3.5,13
5,galleries,POINT (-0.12758 51.50954),uNBw-V4ZYn-cXt4fc9Jw9Q,51.50954,-0.12758,National Portrait Gallery,1,4.5,189
6,galleries,POINT (-0.09682952781520759 51.5176485154852),MIhWaS_eQbsS9AId-C419w,51.5176485154852,-0.0968295278152076,Museum Of London,1,4.0,114
7,galleries,POINT (-0.153022552114862 51.5174316756205),hF7L2L1pcPqNrE0js9xMDw,51.5174316756205,-0.153022552114862,The Wallace Collection,1,4.5,104
8,galleries,POINT (-0.158737 51.490707),V0IimLA1NLpbitl7SiOskA,51.490707,-0.158737,Saatchi Gallery,1,4.5,99
9,galleries,POINT (-0.139058 51.514935),Q0qaACk-ySyeqjFzdK94dg,51.514935,-0.139058,The Photographers' Gallery,1,4.5,47
10,galleries,POINT (-0.175034 51.504749),VL8v-jEvXXpPH7iZ8-lA6A,51.504749,-0.175034,Serpentine Galleries,1,4.0,44
11,galleries,POINT (-0.0918525573030515 51.5070433706857),0PFHwv7drk8VCARhecpX0A,51.5070433706857,-0.0918525573030515,Clink Prison Museum,1,3.0,38
12,galleries,POINT (-0.117566460750618 51.5115565765913),942OQcUtfIjYE_XakkgdNA,51.5115565765913,-0.117566460750618,The Courtauld Gallery,1,4.5,34
13,galleries,POINT (-0.07007284597038969 51.5160847710173),_bAZZTyvZTC1vTdfZlXGWA,51.5160847710173,-0.0700728459703897,Whitechapel Gallery,1,3.5,27
14,galleries,POINT (-0.177454 51.548845),5Ide-FVDXeXQ8cT4OXrxKA,51.548845,-0.177454,The Freud Museum,1,4.0,26
15,galleries,POINT (-0.0859307250688582 51.4463139325697),6fOrTxGXuOCWklyNaaGrUQ,51.4463139325697,-0.0859307250688582,Dulwich Picture Gallery,1,4.0,25
16,galleries,POINT (-0.08864030000000001 51.5050713),PBfLMXN2M0Nn0yorCcOnqg,51.5050713,-0.0886403,The Old Operating Theatre,1,4.5,21
17,galleries,POINT (-0.007975100000000001 51.4790404),AVPhzb0mKoiLmC45HWHl-A,51.4790404,-0.0079751,The Fan Museum Trust,1,4.5,18
18,galleries,POINT (-0.008341537773016459 51.5840633321221),TJdjTGB0ub9mBnnAY9SpiA,51.5840633321221,-0.00834153777301646,Gods Own Junk Yard,1,4.5,16
19,galleries,POINT (-0.12518990987109 51.507801677738),yMdbYof6WRVJFxOisxUdoA,51.507801677738,-0.12518990987109,Benjamin Franklin House,1,3.5,15
20,galleries,POINT (-0.0877742274352333 51.5140257143516),aDM7ofXY4EfM8WvV7FVqkg,51.5140257143516,-0.0877742274352333,Bank Of England Museum,1,4.0,12
21,galleries,POINT (-0.16007 51.486013),48-U9KkcT09vEYpeD2CLRA,51.486013,-0.16007,National Army Museum,1,4.5,12
22,galleries,POINT (-0.1460565 51.5130575),lw9lEkGy_yvjQQoqWKB2AA,51.5130575,-0.1460565,Handel & Hendrix in London,1,4.5,12
23,galleries,POINT (-0.0716229 51.5244724),NLABAUxiiVqkqLIOmkdneA,51.5244724,-0.0716229,The Brick Lane Gallery,1,2.0,11
24,galleries,POINT (-0.183591842651367 51.5510586247943),1ykMbCK-N53D3jfjvCFlSA,51.5510586247943,-0.183591842651367,Camden Arts Centre,1,4.5,10
25,galleries,POINT (-0.09492100000000001 51.530278),XvV13V0vHowMUe4WaE1I2Q,51.530278,-0.094921,Victoria Miro Gallery,1,4.5,10
26,galleries,POINT (-0.1444712 51.5371325),1IfmFp49yxfCQwVEyymIyg,51.5371325,-0.1444712,Jewish Museum London,1,4.0,10
27,galleries,POINT (-0.05674 51.52968),DDnC20ZpVzy4GWDkNA_Xww,51.52968,-0.05674,Resistance Gallery,1,4.5,9
28,galleries,POINT (-0.0921868670680626 51.5157564364027),BKxYg9gu-ROy8fVdVpImnw,51.5157564364027,-0.0921868670680626,Guildhall Art Gallery,1,4.5,9
29,galleries,POINT (-0.120335 51.534231),8u-RKYet2Ph_GIsuBW5bsw,51.534231,-0.120335,London Canal Museum,1,4.5,8
30,galleries,POINT (-0.168133 51.5210862),CUJ_3VoaJ4bouNEQirg91g,51.5210862,-0.168133,Lisson Gallery,1,4.0,8
31,galleries,POINT (-0.020380074856059 51.5908999416466),OOIT6B6Yt1tdj2uSsiVzIA,51.5908999416466,-0.020380074856059,William Morris Gallery,1,4.0,7
32,galleries,POINT (-0.1004488 51.5438937),rCaGvbZ-3Daw2R1wy6I3ow,51.5438937,-0.1004488,Estorick Collection,1,4.5,6
33,galleries,POINT (-0.153301 51.546202),EBNLAO1di9dHYePE4BTT3w,51.546202,-0.153301,The Zabludowicz Collection,1,4.5,6
34,galleries,POINT (-0.068554 51.468194),vtncqGQ0RGTCWNRGeKaOHA,51.468194,-0.068554,Small White Elephant,1,4.5,5
35,galleries,POINT (-0.09492100000000001 51.530278),elfD9MftHSb8-gj7xuzzIw,51.530278,-0.094921,Parasol Unit,1,4.0,5
36,galleries,POINT (-0.056304931640625 51.5328821764466),gdrl_P2Xo6MMvZltgyQ5hw,51.5328821764466,-0.056304931640625,DegreeArt,1,4.0,4
37,galleries,POINT (-0.056701 51.526549),QT-Ly7uUquK4kdi40Y0XcA,51.526549,-0.056701,10 Gales,1,5.0,3
38,galleries,POINT (-0.10821 51.50806),Vi-Q44sv1tqiGa-zlgT7cg,51.50806,-0.10821,gallery@oxo,1,3.5,3
39,galleries,POINT (-0.130201 51.527087),jGrkHRTaSCGBswcjg4qfMw,51.527087,-0.130201,The Crypt Gallery,1,3.5,3
40,galleries,POINT (-0.07804 51.546324),mvoqEu5WQSju90FCXEA3yg,51.546324,-0.07804,Subtitles,1,4.5,3
41,galleries,POINT (-0.1139852 51.4618193),rcMiC7eE7sGcVADUVZPAZw,51.4618193,-0.1139852,Photofusion Gallery,1,4.5,3
42,galleries,POINT (-0.06291099999999999 51.493676),tyvMjNHcFH5li7B_7OwWkQ,51.493676,-0.062911,Vibe Gallery,1,4.0,2
43,galleries,POINT (-0.021134 51.540207),jmhGQutSo0s3EU5QEUuGrA,51.540207,-0.021134,Stour Space,1,4.0,2
44,galleries,POINT (-0.141596 51.518446),dp_tffydDipJ47rKVhSNcA,51.518446,-0.141596,Nettie Horn,1,4.0,2
45,galleries,POINT (-0.023148 51.542966),RkQTtIdpC8dA2n0kDTLbhw,51.542966,-0.023148,The Elevator Gallery,1,4.5,2
46,galleries,POINT (-0.08328000000000001 51.5262049),M_4a_IgILULJ1hMy1GNEPA,51.5262049,-0.08328,Red Gallery,1,3.0,2
47,galleries,POINT (-0.197963325130197 51.5517344256622),PdobJLPaB-Zz_mEbYX9r3g,51.5517344256622,-0.197963325130197,Monsters Of Art Studio And Gallery,1,5.0,2
48,galleries,POINT (-0.117566460750618 51.5115565765913),Gf7ocwPdS9HXKANzVCdL-A,51.5115565765913,-0.117566460750618,The Cortauld Gallery,1,4.5,2
49,galleries,POINT (-0.0737111 51.5161928),KlZuWEg60w8-i2RPNFNHzg,51.5161928,-0.0737111,Women's Library,1,5.0,2
50,galleries,POINT (-0.0231933 51.5424016),9jnQkelyf8TfHiypvujBwQ,51.5424016,-0.0231933,Schwartz Gallery,1,3.5,2
51,galleries,POINT (-0.110434 51.4877),CHaoAdrKelz0cr4ABeyx9g,51.4877,-0.110434,Camera Club,1,4.0,2
52,galleries,POINT (-0.127742007374763 51.510799407959),Hd-brGpvUqU6_bz5sm01Sg,51.510799407959,-0.127742007374763,Tender Product,1,4.5,2
53,galleries,POINT (-0.0770500004291534 51.4739990234375),w5n6I_NezWT13OTMx1CevQ,51.4739990234375,-0.0770500004291534,New Gallery London,1,5.0,1
54,galleries,POINT (-0.0831572 51.5247955),MrVPDXVO3Qgn6oWz2day2w,51.5247955,-0.0831572,71A,1,4.0,1
55,galleries,POINT (-0.0259554013609886 51.4747054155083),RIeJL0uMeFJyrcOUgElp9Q,51.4747054155083,-0.0259554013609886,Vinyl Deptford,1,5.0,1
56,galleries,POINT (-0.1416344 51.5106097),1a1XBLdgMtMt6HiZcV2smQ,51.5106097,-0.1416344,Helly Nahmad Gallery,1,5.0,1
