id_left,1,1.5,2,2.5,3,3.5,4,4.5,5,1_%,1.5_%,2_%,2.5_%,3_%,3.5_%,4_%,4.5_%,5_%,low,mid,high,average_rating
1,0,0,2,4,5,9,11,2,3,0,0,0.055555556,0.111111111,0.138888889,0.25,0.305555556,0.055555556,0.083333333,0.055555556,0.5,0.444444445,3.569444444
2,0,0,0,1,1,0,0,0,1,0,0,0,0.333333333,0.333333333,0,0,0,0.333333333,0,0.666666666,0.333333333,3.5
3,0,2,2,1,0,6,3,3,4,0,0.095238095,0.095238095,0.047619048,0,0.285714286,0.142857143,0.142857143,0.19047619,0.19047619,0.333333334,0.476190476,3.619047619
4,0,0,1,2,7,7,6,2,0,0,0,0.04,0.08,0.28,0.28,0.24,0.08,0,0.04,0.64,0.32,3.42
5,0,0,1,1,1,10,18,6,0,0,0,0.027027027,0.027027027,0.027027027,0.27027027,0.486486486,0.162162162,0,0.027027027,0.324324324,0.648648648,3.824324324
6,3,2,2,12,41,62,80,34,5,0.012448133,0.008298755,0.008298755,0.049792531,0.170124481,0.257261411,0.331950207,0.141078838,0.020746888,0.029045643,0.477178423,0.493775933,3.643153527
7,0,0,0,1,10,13,14,5,6,0,0,0,0.020408163,0.204081633,0.265306122,0.285714286,0.102040816,0.12244898,0,0.489795918,0.510204082,3.806122449
8,1,0,0,0,0,4,5,11,1,0.045454545,0,0,0,0,0.181818182,0.227272727,0.5,0.045454545,0.045454545,0.181818182,0.772727272,4.068181818
9,1,1,2,4,14,39,43,30,15,0.006711409,0.006711409,0.013422819,0.026845638,0.093959732,0.261744966,0.288590604,0.201342282,0.100671141,0.026845637,0.382550336,0.590604027,3.872483221
10,0,0,0,4,10,14,8,14,2,0,0,0,0.076923077,0.192307692,0.269230769,0.153846154,0.269230769,0.038461538,0,0.538461538,0.461538461,3.730769231
11,3,1,6,15,40,73,106,64,23,0.009063444,0.003021148,0.018126888,0.045317221,0.120845921,0.220543807,0.320241692,0.193353474,0.069486405,0.03021148,0.386706949,0.583081571,3.796072508
12,1,1,4,20,25,77,88,43,10,0.003717472,0.003717472,0.014869888,0.074349442,0.092936803,0.286245353,0.327137546,0.159851301,0.037174721,0.022304832,0.453531598,0.524163568,3.719330855
13,3,1,2,2,5,24,23,10,9,0.037974684,0.012658228,0.025316456,0.025316456,0.063291139,0.303797468,0.291139241,0.126582278,0.113924051,0.075949368,0.392405063,0.53164557,3.727848101
14,0,0,0,5,10,15,21,12,5,0,0,0,0.073529412,0.147058824,0.220588235,0.308823529,0.176470588,0.073529412,0,0.441176471,0.558823529,3.794117647
15,3,3,4,11,13,27,44,14,12,0.022900763,0.022900763,0.030534351,0.083969466,0.099236641,0.20610687,0.335877863,0.106870229,0.091603053,0.076335877,0.389312977,0.534351145,3.629770992
16,5,1,5,20,30,65,92,33,16,0.018726592,0.003745318,0.018726592,0.074906367,0.112359551,0.243445693,0.344569288,0.123595506,0.059925094,0.041198502,0.430711611,0.528089888,3.672284644
17,0,4,6,4,14,25,34,10,8,0,0.038095238,0.057142857,0.038095238,0.133333333,0.238095238,0.323809524,0.095238095,0.076190476,0.095238095,0.409523809,0.495238095,3.604761905
18,1,5,3,8,21,51,74,29,9,0.004975124,0.024875622,0.014925373,0.039800995,0.104477612,0.253731343,0.368159204,0.144278607,0.044776119,0.044776119,0.39800995,0.55721393,3.718905473
19,0,0,0,0,5,11,3,0,0,0,0,0,0,0.263157895,0.578947368,0.157894737,0,0,0,0.842105263,0.157894737,3.447368421
20,1,3,4,7,25,79,118,54,23,0.003184713,0.00955414,0.012738854,0.022292994,0.079617834,0.251592357,0.375796178,0.171974522,0.073248408,0.025477707,0.353503185,0.621019108,3.861464968
21,0,0,0,1,3,7,7,3,1,0,0,0,0.045454545,0.136363636,0.318181818,0.318181818,0.136363636,0.045454545,0,0.499999999,0.499999999,3.75
22,1,2,2,1,4,4,17,14,5,0.02,0.04,0.04,0.02,0.08,0.08,0.34,0.28,0.1,0.1,0.18,0.72,3.85
23,0,0,1,0,1,14,13,5,7,0,0,0.024390244,0,0.024390244,0.341463415,0.317073171,0.12195122,0.170731707,0.024390244,0.365853659,0.609756098,3.987804878
24,0,1,5,15,16,36,27,31,6,0,0.00729927,0.03649635,0.109489051,0.116788321,0.262773723,0.197080292,0.226277372,0.04379562,0.04379562,0.489051095,0.467153284,3.653284672
25,1,0,0,3,12,21,35,21,11,0.009615385,0,0,0.028846154,0.115384615,0.201923077,0.336538462,0.201923077,0.105769231,0.009615385,0.346153846,0.64423077,3.918269231
26,0,1,3,7,6,23,56,53,14,0,0.006134969,0.018404908,0.042944785,0.036809816,0.141104294,0.343558282,0.325153374,0.085889571,0.024539877,0.220858895,0.754601227,4.024539877
27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3.5
29,4,8,7,7,26,37,67,31,14,0.019900498,0.039800995,0.034825871,0.034825871,0.129353234,0.184079602,0.333333333,0.154228856,0.069651741,0.094527364,0.348258707,0.55721393,3.644278607
