id_left,1,1.5,2,2.5,3,3.5,4,4.5,5,1_%,1.5_%,2_%,2.5_%,3_%,3.5_%,4_%,4.5_%,5_%,low,mid,high,average_rating
1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5
4,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,3.5
5,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,1,4.333333333
6,0,0,0,1,1,0,8,3,0,0,0,0,0.076923077,0.076923077,0,0.615384615,0.230769231,0,0,0.153846154,0.846153846,3.923076923
7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
8,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.333333333,0.666666667,3.833333333
9,0,0,0,0,0,2,3,1,1,0,0,0,0,0,0.285714286,0.428571429,0.142857143,0.142857143,0,0.285714286,0.714285714,4.071428571
11,0,0,0,0,0,1,2,4,0,0,0,0,0,0,0.142857143,0.285714286,0.571428571,0,0,0.142857143,0.857142857,4.214285714
12,0,0,0,0,0,0,7,3,1,0,0,0,0,0,0,0.636363636,0.272727273,0.090909091,0,0,1,4.227272727
13,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,1,4.75
15,0,0,0,1,0,0,1,0,1,0,0,0,0.333333333,0,0,0.333333333,0,0.333333333,0,0.333333333,0.666666667,3.833333333
16,0,0,0,0,2,1,4,1,3,0,0,0,0,0.181818182,0.090909091,0.363636364,0.090909091,0.272727273,0,0.272727273,0.727272727,4.090909091
18,0,0,0,1,2,1,7,0,0,0,0,0,0.090909091,0.181818182,0.090909091,0.636363636,0,0,0,0.363636364,0.636363636,3.636363636
19,0,0,0,0,2,1,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,0,1,0,3.166666667
20,0,0,0,0,1,0,5,3,3,0,0,0,0,0.083333333,0,0.416666667,0.25,0.25,0,0.083333333,0.916666667,4.291666667
21,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,4.25
22,0,1,0,0,0,0,1,0,1,0,0.333333333,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0.666666667,3.5
23,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0.333333333,0.666666667,4.5
24,0,0,0,0,3,2,2,1,0,0,0,0,0,0.375,0.25,0.25,0.125,0,0,0.625,0.375,3.5625
25,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0.2,0.4,0.4,0,0,0.2,0.8,4.1
26,0,0,1,0,1,1,2,3,2,0,0,0.1,0,0.1,0.1,0.2,0.3,0.2,0.1,0.2,0.7,4
29,0,0,0,1,3,1,3,3,0,0,0,0,0.090909091,0.272727273,0.090909091,0.272727273,0.272727273,0,0,0.454545455,0.545454545,3.681818182
30,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5
31,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
32,0,0,0,0,1,0,1,1,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0.333333333,0.666666667,3.833333333
33,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0.333333333,0,0.666666667,0,0,0.333333333,0.666666667,4.166666667
34,0,0,0,1,5,4,6,1,1,0,0,0,0.055555556,0.277777778,0.222222222,0.333333333,0.055555556,0.055555556,0,0.555555556,0.444444444,3.611111111
35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5
37,0,0,0,0,1,2,0,1,2,0,0,0,0,0.166666667,0.333333333,0,0.166666667,0.333333333,0,0.5,0.5,4.083333333
39,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.666666667,0.333333333,0,0,0,1,4.166666667
40,0,0,0,0,1,0,1,2,0,0,0,0,0,0.25,0,0.25,0.5,0,0,0.25,0.75,4
41,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,0.333333333,0.666666667,3.833333333
43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
44,0,0,1,0,1,0,0,1,0,0,0,0.333333333,0,0.333333333,0,0,0.333333333,0,0.333333333,0.333333333,0.333333333,3.166666667
45,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.333333333,0.666666667,0,0,0,1,4.333333333
46,0,0,0,0,0,2,0,6,0,0,0,0,0,0,0.25,0,0.75,0,0,0.25,0.75,4.25
47,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5
48,0,0,0,1,0,0,2,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0,0,0.333333333,0.666666667,3.5
49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5
50,0,0,0,0,0,1,4,0,1,0,0,0,0,0,0.166666667,0.666666667,0,0.166666667,0,0.166666667,0.833333333,4.083333333
53,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0.5,0.25,0.25,0,0,0.5,0.5,3.875
54,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0.333333333,0.666666667,4.5
55,0,0,0,1,0,2,2,0,0,0,0,0,0.2,0,0.4,0.4,0,0,0,0.6,0.4,3.5
59,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,5
60,0,0,0,0,1,1,1,0,0,0,0,0,0,0.333333333,0.333333333,0.333333333,0,0,0,0.666666667,0.333333333,3.5
61,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
62,0,0,0,0,1,0,0,1,0,0,0,0,0,0.5,0,0,0.5,0,0,0.5,0.5,3.75
63,0,0,0,0,0,5,6,0,0,0,0,0,0,0,0.454545455,0.545454545,0,0,0,0.454545455,0.545454545,3.772727273
65,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
67,0,1,1,0,0,0,6,3,3,0,0.071428571,0.071428571,0,0,0,0.428571429,0.214285714,0.214285714,0.142857143,0,0.857142857,4
70,0,0,0,0,1,0,0,2,0,0,0,0,0,0.333333333,0,0,0.666666667,0,0,0.333333333,0.666666667,4
73,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,3.75
74,0,0,1,0,0,0,2,2,1,0,0,0.166666667,0,0,0,0.333333333,0.333333333,0.166666667,0.166666667,0,0.833333333,4
75,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
76,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0.25,0.75,0,0,0,1,4.375
77,0,0,1,0,2,2,5,4,2,0,0,0.0625,0,0.125,0.125,0.3125,0.25,0.125,0.0625,0.25,0.6875,3.9375
79,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
82,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,1,0,3.25
83,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0.5,3.75
84,0,0,0,0,0,1,1,5,0,0,0,0,0,0,0.142857143,0.142857143,0.714285714,0,0,0.142857143,0.857142857,4.285714286
85,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,5
86,0,0,0,1,1,2,5,2,3,0,0,0,0.071428571,0.071428571,0.142857143,0.357142857,0.142857143,0.214285714,0,0.285714286,0.714285714,4.035714286
88,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5
91,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,4.25
93,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,1,4.333333333
94,0,0,0,0,1,5,5,6,0,0,0,0,0,0.058823529,0.294117647,0.294117647,0.352941176,0,0,0.352941176,0.647058824,3.970588235
95,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
97,0,0,0,0,1,0,4,1,1,0,0,0,0,0.142857143,0,0.571428571,0.142857143,0.142857143,0,0.142857143,0.857142857,4.071428571
98,0,0,0,0,2,0,0,1,0,0,0,0,0,0.666666667,0,0,0.333333333,0,0,0.666666667,0.333333333,3.5
99,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,4.5
100,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0.666666667,0,0.333333333,0,0,1,4.333333333
101,0,0,0,0,1,2,0,1,0,0,0,0,0,0.25,0.5,0,0.25,0,0,0.75,0.25,3.625
103,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.75,0.25,0,0,1,4.625
104,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
105,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0.4,0.4,0.2,0,0,0.4,0.6,3.9
106,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0.166666667,0.666666667,0.166666667,0,0,0.166666667,0.833333333,4
107,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0.75,0.25,0,0,0,0.75,0.25,3.625
110,0,0,0,0,1,0,1,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0.5,0.5,3.5
111,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4
112,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3
114,0,0,0,1,1,6,4,2,1,0,0,0,0.066666667,0.066666667,0.4,0.266666667,0.133333333,0.066666667,0,0.533333333,0.466666667,3.766666667
118,0,0,0,0,2,4,5,6,0,0,0,0,0,0.117647059,0.235294118,0.294117647,0.352941176,0,0,0.352941176,0.647058824,3.941176471
121,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0.285714286,0.285714286,0.285714286,0.142857143,0,0.285714286,0.714285714,4.142857143
122,0,0,0,0,2,0,2,2,0,0,0,0,0,0.333333333,0,0.333333333,0.333333333,0,0,0.333333333,0.666666667,3.833333333
123,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
124,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0.25,0,0.5,0.25,0,0.25,0.75,4.375
126,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.5,0.5,0,0,0,1,4.25
